league,season,team,player,nation,pos,age,born,minutes,matches_played,starts,tm_matched_name,tm_match_score,market_value_eur,kmeans_label,gmm_label
ENG-Premier League,2324,Sheffield United,Luke Thomas,ENG,"MF,DF",22.0,2001.0,917.0,12.0,11.0,Luke Thomas,100.0,6000000.0,1,2
ENG-Premier League,2324,Brighton,Tariq Lamptey,GHA,"DF,MF",22.0,2000.0,914.0,19.0,10.0,Tariq Lamptey,100.0,12000000.0,0,0
ENG-Premier League,2324,Newcastle,Emil Krafth,SWE,DF,28.0,1994.0,913.0,17.0,8.0,Emil Krafth,100.0,2500000.0,1,2
ENG-Premier League,2324,Burnley,David Datro Fofana,CIV,FW,20.0,2002.0,1561.0,27.0,18.0,David Datro Fofana,100.0,12000000.0,2,3
ENG-Premier League,2324,Tottenham,Timo Werner,GER,"MF,FW",27.0,1996.0,1016.0,21.0,12.0,Timo Werner,100.0,17000000.0,2,3
ENG-Premier League,2425,Brentford,Nathan Collins,IRL,DF,23.0,2001.0,3420.0,38.0,38.0,Nathan Collins,100.0,28000000.0,3,1
ENG-Premier League,2425,Brentford,Bryan Mbeumo,CMR,"MF,FW",24.0,1999.0,3414.0,38.0,38.0,Bryan Mbeumo,100.0,55000000.0,2,0
ENG-Premier League,2425,Liverpool,Mohamed Salah,EGY,MF,32.0,1992.0,3371.0,38.0,38.0,Mohamed Salah,100.0,50000000.0,2,3
ENG-Premier League,2425,Chelsea,Moisés Caicedo,ECU,"MF,DF",22.0,2001.0,3351.0,38.0,38.0,Moisés Caicedo,100.0,90000000.0,1,1
ENG-Premier League,2425,West Ham,Max Kilman,ENG,DF,27.0,1997.0,3348.0,38.0,38.0,Maximilian Kilman,85.5,25000000.0,1,2
ENG-Premier League,2425,Bournemouth,Milos Kerkez,HUN,DF,20.0,2003.0,3336.0,38.0,38.0,Milos Kerkez,100.0,45000000.0,0,0
ENG-Premier League,2425,Nottingham,Nikola Milenković,SRB,DF,26.0,1997.0,3330.0,37.0,37.0,Nikola Milenković,100.0,35000000.0,3,1
ENG-Premier League,2425,Newcastle,Dan Burn,ENG,DF,32.0,1992.0,3330.0,37.0,37.0,Dan Burn,100.0,6000000.0,1,1
ENG-Premier League,2425,Liverpool,Virgil van Dijk,NED,DF,33.0,1991.0,3330.0,37.0,37.0,Virgil van Dijk,100.0,23000000.0,3,1
ENG-Premier League,2425,Manchester City,Joško Gvardiol,CRO,DF,22.0,2002.0,3277.0,37.0,36.0,Josko Gvardiol,100.0,75000000.0,3,1
ENG-Premier League,2425,Newcastle,Bruno Guimarães,BRA,MF,26.0,1997.0,3271.0,38.0,38.0,Bruno Guimarães,100.0,80000000.0,0,0
ENG-Premier League,2425,Crystal Palace,Daniel Muñoz,COL,MF,28.0,1996.0,3228.0,37.0,37.0,Daniel Muñoz,100.0,25000000.0,3,0
ENG-Premier League,2425,Bournemouth,Antoine Semenyo,GHA,MF,24.0,2000.0,3203.0,37.0,36.0,Antoine Semenyo,100.0,40000000.0,2,3
ENG-Premier League,2425,Chelsea,Cole Palmer,ENG,MF,22.0,2002.0,3191.0,37.0,36.0,Cole Palmer,100.0,120000000.0,2,0
ENG-Premier League,2425,Nottingham,Murillo,BRA,DF,22.0,2002.0,3188.0,36.0,36.0,Murillo,100.0,55000000.0,3,1
ENG-Premier League,2425,Fulham,Antonee Robinson,USA,"DF,MF",26.0,1997.0,3167.0,36.0,35.0,Antonee Robinson,100.0,35000000.0,1,2
ENG-Premier League,2425,Liverpool,Ryan Gravenberch,NED,MF,22.0,2002.0,3160.0,37.0,37.0,Ryan Gravenberch,100.0,75000000.0,1,2
ENG-Premier League,2425,West Ham,Aaron Wan-Bissaka,COD,"DF,MF",26.0,1997.0,3154.0,36.0,35.0,Aaron Wan-Bissaka,100.0,24000000.0,3,0
ENG-Premier League,2425,Chelsea,Levi Colwill,ENG,DF,21.0,2003.0,3149.0,35.0,35.0,Levi Colwill,100.0,55000000.0,3,1
ENG-Premier League,2425,Ipswich Town,Dara O'Shea,IRL,DF,25.0,1999.0,3122.0,35.0,35.0,Dara O'Shea,100.0,14000000.0,1,2
ENG-Premier League,2425,Crystal Palace,Maxence Lacroix,FRA,DF,24.0,2000.0,3116.0,35.0,35.0,Maxence Lacroix,100.0,25000000.0,1,1
ENG-Premier League,2425,Aston Villa,Morgan Rogers,ENG,MF,22.0,2002.0,3114.0,37.0,37.0,Morgan Rogers,100.0,55000000.0,0,3
ENG-Premier League,2425,Wolves,Rayan Aït-Nouri,ALG,"MF,DF",23.0,2001.0,3109.0,37.0,37.0,Rayan Aït-Nouri,100.0,35000000.0,0,0
ENG-Premier League,2425,Bournemouth,Illia Zabarnyi,UKR,DF,21.0,2002.0,3109.0,36.0,35.0,Ilya Zabarnyi,88.88888888888889,42000000.0,1,2
ENG-Premier League,2425,Brentford,Keane Lewis-Potter,ENG,"DF,MF",23.0,2001.0,3093.0,38.0,36.0,Keane Lewis-Potter,100.0,23000000.0,1,0
ENG-Premier League,2425,Crystal Palace,Tyrick Mitchell,ENG,MF,24.0,1999.0,3092.0,37.0,37.0,Tyrick Mitchell,100.0,25000000.0,1,2
ENG-Premier League,2425,Everton,Vitaliy Mykolenko,UKR,DF,25.0,1999.0,3082.0,35.0,35.0,Vitaliy Mykolenko,100.0,28000000.0,3,0
ENG-Premier League,2425,Fulham,Calvin Bassey,NGA,DF,24.0,1999.0,3074.0,35.0,34.0,Calvin Bassey,100.0,25000000.0,1,1
ENG-Premier League,2425,Everton,Idrissa Gueye,SEN,MF,34.0,1989.0,3063.0,37.0,35.0,Idrissa Gueye,100.0,1500000.0,1,2
ENG-Premier League,2425,Crystal Palace,Marc Guéhi,ENG,DF,24.0,2000.0,3059.0,34.0,34.0,Marc Guéhi,100.0,45000000.0,3,1
ENG-Premier League,2425,Arsenal,William Saliba,FRA,DF,23.0,2001.0,3039.0,35.0,35.0,William Saliba,100.0,80000000.0,3,1
ENG-Premier League,2425,Aston Villa,Youri Tielemans,BEL,MF,27.0,1997.0,3026.0,36.0,35.0,Youri Tielemans,100.0,38000000.0,0,0
ENG-Premier League,2425,Manchester Utd,Bruno Fernandes,POR,MF,29.0,1994.0,3018.0,36.0,35.0,Bruno Fernandes,100.0,50000000.0,0,0
ENG-Premier League,2425,Nottingham,Ola Aina,NGA,DF,27.0,1996.0,2995.0,35.0,35.0,Ola Aina,100.0,22000000.0,3,1
ENG-Premier League,2425,Chelsea,Marc Cucurella,ESP,DF,26.0,1998.0,2988.0,36.0,33.0,Marc Cucurella,100.0,35000000.0,3,1
ENG-Premier League,2425,Fulham,Alex Iwobi,NGA,MF,28.0,1996.0,2981.0,38.0,35.0,Alex Iwobi,100.0,28000000.0,0,0
ENG-Premier League,2425,Bournemouth,Lewis Cook,ENG,"MF,DF",27.0,1997.0,2978.0,36.0,32.0,Lewis Cook,100.0,15000000.0,1,0
ENG-Premier League,2425,Wolves,João Gomes,BRA,MF,23.0,2001.0,2974.0,36.0,35.0,João Gomes,100.0,40000000.0,1,1
ENG-Premier League,2425,West Ham,Jarrod Bowen,ENG,"MF,FW",27.0,1996.0,2973.0,34.0,34.0,Jarrod Bowen,100.0,40000000.0,2,0
ENG-Premier League,2425,Nottingham,Chris Wood,NZL,FW,32.0,1991.0,2959.0,36.0,35.0,Chris Wood,100.0,10000000.0,2,3
ENG-Premier League,2425,Brighton,Jan Paul van Hecke,NED,DF,24.0,2000.0,2958.0,34.0,33.0,Jan Paul van Hecke,100.0,32000000.0,1,1
ENG-Premier League,2425,Chelsea,Enzo Fernández,ARG,MF,23.0,2001.0,2947.0,36.0,32.0,Enzo Fernández,100.0,75000000.0,0,0
ENG-Premier League,2425,Aston Villa,Ezri Konsa,ENG,DF,26.0,1997.0,2936.0,34.0,33.0,Ezri Konsa,100.0,35000000.0,3,1
ENG-Premier League,2425,Newcastle,Fabian Schär,SUI,DF,32.0,1991.0,2934.0,34.0,33.0,Fabian Schär,100.0,7000000.0,3,1
ENG-Premier League,2425,Everton,James Tarkowski,ENG,DF,31.0,1992.0,2922.0,33.0,33.0,James Tarkowski,100.0,9000000.0,1,1
ENG-Premier League,2425,Brentford,Yoane Wissa,COD,FW,27.0,1996.0,2919.0,35.0,34.0,Yoane Wissa,100.0,32000000.0,2,3
ENG-Premier League,2425,Southampton,Kyle Walker-Peters,ENG,"MF,DF",27.0,1997.0,2918.0,33.0,33.0,Kyle Walker-Peters,100.0,15000000.0,1,2
ENG-Premier League,2425,Leicester City,James Justin,ENG,"DF,MF",26.0,1998.0,2912.0,36.0,34.0,James Justin,100.0,13000000.0,1,1
ENG-Premier League,2425,Brentford,Mikkel Damsgaard,DEN,MF,24.0,2000.0,2911.0,38.0,34.0,Mikkel Damsgaard,100.0,28000000.0,0,0
ENG-Premier League,2425,Southampton,Mateus Fernandes,POR,MF,20.0,2004.0,2909.0,36.0,34.0,Mateus Fernandes,100.0,15000000.0,0,0
ENG-Premier League,2425,Wolves,Nélson Semedo,POR,"MF,DF",30.0,1993.0,2886.0,34.0,32.0,Nélson Semedo,100.0,9000000.0,1,2
ENG-Premier League,2425,Newcastle,Tino Livramento,ENG,DF,21.0,2002.0,2840.0,37.0,32.0,Tino Livramento,100.0,40000000.0,1,2
ENG-Premier League,2425,Manchester Utd,Noussair Mazraoui,MAR,"DF,MF",26.0,1997.0,2838.0,37.0,34.0,Noussair Mazraoui,100.0,25000000.0,1,2
ENG-Premier League,2425,Southampton,Taylor Harwood-Bellis,ENG,DF,22.0,2002.0,2825.0,34.0,32.0,Taylor Harwood-Bellis,100.0,22000000.0,1,1
ENG-Premier League,2425,Arsenal,Declan Rice,ENG,MF,25.0,1999.0,2825.0,35.0,33.0,Declan Rice,100.0,120000000.0,0,0
ENG-Premier League,2425,Leicester City,Jamie Vardy,ENG,FW,37.0,1987.0,2823.0,35.0,35.0,Jamie Vardy,100.0,1000000.0,2,3
ENG-Premier League,2425,Brentford,Christian Nørgaard,DEN,MF,30.0,1994.0,2819.0,34.0,34.0,Christian Nørgaard,100.0,11000000.0,3,1
ENG-Premier League,2425,Leicester City,Wout Faes,BEL,DF,26.0,1998.0,2815.0,34.0,30.0,Wout Faes,100.0,15000000.0,3,1
ENG-Premier League,2425,Manchester Utd,Diogo Dalot,POR,"MF,DF",25.0,1999.0,2814.0,33.0,31.0,Diogo Dalot,100.0,30000000.0,1,2
ENG-Premier League,2425,Nottingham,Morgan Gibbs-White,ENG,MF,24.0,2000.0,2803.0,34.0,34.0,Morgan Gibbs-White,100.0,50000000.0,0,0
ENG-Premier League,2425,Arsenal,Thomas Partey,GHA,"MF,DF",31.0,1993.0,2797.0,35.0,31.0,Thomas Partey,100.0,14000000.0,3,1
ENG-Premier League,2425,Newcastle,Alexander Isak,SWE,FW,24.0,1999.0,2756.0,34.0,34.0,Alexander Isak,100.0,120000000.0,2,3
ENG-Premier League,2425,Ipswich Town,Sam Morsy,EGY,MF,32.0,1991.0,2751.0,33.0,31.0,Sam Morsy,100.0,500000.0,1,1
ENG-Premier League,2425,Ipswich Town,Leif Davis,ENG,DF,24.0,1999.0,2743.0,33.0,32.0,Leif Davis,100.0,22000000.0,1,0
ENG-Premier League,2425,Manchester City,Erling Haaland,NOR,FW,24.0,2000.0,2736.0,31.0,31.0,Erling Haaland,100.0,180000000.0,2,3
ENG-Premier League,2425,Nottingham,Elliot Anderson,ENG,MF,21.0,2002.0,2728.0,37.0,33.0,Elliot Anderson,100.0,32000000.0,0,0
ENG-Premier League,2425,Crystal Palace,Ismaila Sarr,SEN,MF,26.0,1998.0,2711.0,38.0,30.0,Ismaïla Sarr,100.0,25000000.0,2,0
ENG-Premier League,2425,Manchester City,Bernardo Silva,POR,MF,29.0,1994.0,2670.0,33.0,29.0,Bernardo Silva,100.0,38000000.0,3,0
ENG-Premier League,2425,Brighton,Carlos Baleba,CMR,MF,20.0,2004.0,2661.0,34.0,31.0,Carlos Baleba,100.0,40000000.0,1,1
ENG-Premier League,2425,Crystal Palace,Jean-Philippe Mateta,FRA,FW,27.0,1997.0,2648.0,37.0,33.0,Jean-Philippe Mateta,100.0,30000000.0,2,3
ENG-Premier League,2425,Newcastle,Sandro Tonali,ITA,MF,24.0,2000.0,2630.0,36.0,28.0,Sandro Tonali,100.0,60000000.0,3,0
ENG-Premier League,2425,Wolves,Toti Gomes,POR,DF,25.0,1999.0,2614.0,31.0,30.0,Toti,90.0,28000000.0,1,2
ENG-Premier League,2425,Tottenham,Pedro Porro,ESP,DF,24.0,1999.0,2610.0,33.0,28.0,Pedro Porro,100.0,38000000.0,0,0
ENG-Premier League,2425,Brighton,Kaoru Mitoma,JPN,MF,27.0,1997.0,2603.0,36.0,28.0,Kaoru Mitoma,100.0,40000000.0,2,0
ENG-Premier League,2425,Liverpool,Alexis Mac Allister,ARG,MF,25.0,1998.0,2599.0,35.0,30.0,Alexis Mac Allister,100.0,100000000.0,0,0
ENG-Premier League,2425,Aston Villa,Ollie Watkins,ENG,FW,28.0,1995.0,2598.0,38.0,31.0,Ollie Watkins,100.0,40000000.0,2,3
ENG-Premier League,2425,Wolves,Matheus Cunha,BRA,MF,25.0,1999.0,2597.0,33.0,29.0,Matheus Cunha,100.0,60000000.0,2,0
ENG-Premier League,2425,Nottingham,Neco Williams,WAL,"DF,MF",23.0,2001.0,2594.0,35.0,28.0,Neco Williams,100.0,20000000.0,1,0
ENG-Premier League,2425,Ipswich Town,Liam Delap,ENG,FW,21.0,2003.0,2593.0,37.0,32.0,Liam Delap,100.0,40000000.0,2,3
ENG-Premier League,2425,West Ham,Mohammed Kudus,GHA,"MF,FW",23.0,2000.0,2590.0,32.0,31.0,Mohammed Kudus,100.0,45000000.0,0,3
ENG-Premier League,2425,Crystal Palace,Eberechi Eze,ENG,MF,26.0,1998.0,2588.0,34.0,31.0,Eberechi Eze,100.0,55000000.0,0,0
ENG-Premier League,2425,Wolves,Jørgen Strand Larsen,NOR,FW,24.0,2000.0,2587.0,35.0,30.0,Jørgen Strand Larsen,100.0,30000000.0,2,3
ENG-Premier League,2425,Brentford,Sepp van den Berg,NED,DF,22.0,2001.0,2586.0,31.0,29.0,Sepp van den Berg,100.0,22000000.0,1,2
ENG-Premier League,2425,Ipswich Town,Omari Hutchinson,ENG,MF,20.0,2003.0,2583.0,31.0,30.0,Omari Hutchinson,100.0,22000000.0,0,0
ENG-Premier League,2425,Fulham,Joachim Andersen,DEN,DF,28.0,1996.0,2673.0,30.0,30.0,Joachim Andersen,100.0,27000000.0,1,2
ENG-Premier League,2425,West Ham,Tomáš Souček,CZE,MF,29.0,1995.0,2567.0,35.0,30.0,Tomáš Souček,100.0,18000000.0,3,0
ENG-Premier League,2425,Everton,Abdoulaye Doucouré,MLI,MF,31.0,1993.0,2564.0,33.0,31.0,Abdoulaye Doucouré,100.0,7000000.0,3,3
ENG-Premier League,2425,Liverpool,Ibrahima Konaté,FRA,DF,25.0,1999.0,2560.0,31.0,30.0,Ibrahima Konaté,100.0,60000000.0,1,1
ENG-Premier League,2425,Arsenal,Leandro Trossard,BEL,FW,29.0,1994.0,2546.0,38.0,28.0,Leandro Trossard,100.0,22000000.0,0,0
ENG-Premier League,2425,Southampton,Jan Bednarek,POL,DF,28.0,1996.0,2531.0,30.0,30.0,Jan Bednarek,100.0,9000000.0,3,1
ENG-Premier League,2425,Everton,Jarrad Branthwaite,ENG,DF,22.0,2002.0,2511.0,30.0,28.0,Jarrad Branthwaite,100.0,50000000.0,1,2
ENG-Premier League,2425,Nottingham,Anthony Elanga,SWE,"MF,FW",22.0,2002.0,2501.0,38.0,31.0,Anthony Elanga,100.0,42000000.0,0,0
ENG-Premier League,2425,Fulham,Raúl Jiménez,MEX,FW,33.0,1991.0,2494.0,38.0,30.0,Raúl Jiménez,100.0,5000000.0,2,3
ENG-Premier League,2425,Liverpool,Dominik Szoboszlai,HUN,MF,23.0,2000.0,2491.0,36.0,29.0,Dominik Szoboszlai,100.0,80000000.0,0,3
ENG-Premier League,2425,Leicester City,Victor Bernth Kristiansen,DEN,"DF,MF",21.0,2002.0,2482.0,30.0,29.0,Victor Kristiansen,95.0,15000000.0,1,2
ENG-Premier League,2425,Liverpool,Andy Robertson,SCO,DF,30.0,1994.0,2482.0,33.0,29.0,Andrew Robertson,86.66666666666667,18000000.0,1,2
ENG-Premier League,2425,Wolves,André,BRA,MF,23.0,2001.0,2472.0,33.0,31.0,André,100.0,28000000.0,1,2
ENG-Premier League,2425,Newcastle,Anthony Gordon,ENG,"FW,MF",23.0,2001.0,2434.0,34.0,28.0,Anthony Gordon,100.0,65000000.0,0,0
ENG-Premier League,2425,Everton,Iliman Ndiaye,SEN,"MF,FW",24.0,2000.0,2430.0,33.0,29.0,Iliman Ndiaye,100.0,22000000.0,3,0
ENG-Premier League,2425,Bournemouth,Dean Huijsen,ESP,DF,19.0,2005.0,2427.0,32.0,26.0,Dean Huijsen,100.0,60000000.0,3,1
ENG-Premier League,2425,Arsenal,Jurriën Timber,NED,DF,23.0,2001.0,2417.0,30.0,27.0,Jurriën Timber,100.0,55000000.0,1,0
ENG-Premier League,2425,Brighton,Pervis Estupiñán,ECU,DF,26.0,1998.0,2402.0,30.0,26.0,Pervis Estupiñán,100.0,30000000.0,1,0
ENG-Premier League,2425,Liverpool,Luis Díaz,COL,"FW,MF",27.0,1997.0,2399.0,36.0,28.0,Luis Díaz,100.0,70000000.0,2,3
ENG-Premier League,2425,Newcastle,Joelinton,BRA,"MF,FW",27.0,1996.0,2393.0,29.0,29.0,Joelinton,100.0,35000000.0,3,0
ENG-Premier League,2425,Tottenham,Dejan Kulusevski,SWE,"MF,FW",24.0,2000.0,2389.0,32.0,27.0,Dejan Kulusevski,100.0,50000000.0,0,0
ENG-Premier League,2425,West Ham,Lucas Paquetá,BRA,"MF,FW",26.0,1997.0,2380.0,33.0,27.0,Lucas Paquetá,100.0,28000000.0,3,0
ENG-Premier League,2425,Liverpool,Trent Alexander-Arnold,ENG,DF,25.0,1998.0,2365.0,33.0,28.0,Trent Alexander-Arnold,100.0,75000000.0,0,0
ENG-Premier League,2425,Arsenal,Gabriel Magalhães,BRA,DF,26.0,1997.0,2363.0,28.0,28.0,Gabriel,90.0,75000000.0,3,1
ENG-Premier League,2425,Newcastle,Jacob Murphy,ENG,"FW,MF",29.0,1995.0,2360.0,35.0,31.0,Jacob Murphy,100.0,16000000.0,0,0
ENG-Premier League,2425,Aston Villa,Lucas Digne,FRA,DF,31.0,1993.0,2351.0,32.0,28.0,Lucas Digne,100.0,10000000.0,1,2
ENG-Premier League,2425,Fulham,Saša Lukić,SRB,MF,27.0,1996.0,2344.0,30.0,28.0,Saša Lukić,100.0,14000000.0,1,2
ENG-Premier League,2425,Bournemouth,Justin Kluivert,NED,MF,25.0,1999.0,2340.0,34.0,29.0,Justin Kluivert,100.0,35000000.0,2,0
ENG-Premier League,2425,Arsenal,Martin Ødegaard,NOR,MF,25.0,1998.0,2325.0,30.0,26.0,Martin Ødegaard,100.0,85000000.0,0,0
ENG-Premier League,2425,Leicester City,Wilfred Ndidi,NGA,MF,27.0,1996.0,2324.0,28.0,28.0,Wilfred Ndidi,100.0,15000000.0,1,2
ENG-Premier League,2425,Bournemouth,Evanilson,BRA,FW,24.0,1999.0,2319.0,31.0,28.0,Evanilson,100.0,35000000.0,2,3
ENG-Premier League,2425,Brentford,Kevin Schade,GER,"MF,FW",22.0,2001.0,2293.0,38.0,26.0,Kevin Schade,100.0,30000000.0,2,3
ENG-Premier League,2425,Arsenal,Gabriel Martinelli,BRA,"FW,MF",23.0,2001.0,2290.0,33.0,25.0,Gabriel Martinelli,100.0,55000000.0,2,0
ENG-Premier League,2425,Crystal Palace,Jefferson Lerma,COL,"MF,DF",29.0,1994.0,2274.0,33.0,26.0,Jefferson Lerma,100.0,10000000.0,1,2
ENG-Premier League,2425,Manchester City,Rúben Dias,POR,"DF,MF",27.0,1997.0,2271.0,27.0,25.0,Rúben Dias,100.0,65000000.0,1,2
ENG-Premier League,2425,Chelsea,Pedro Neto,POR,"MF,FW",24.0,2000.0,2269.0,35.0,24.0,Pedro Neto,100.0,50000000.0,0,0
ENG-Premier League,2425,Brentford,Vitaly Janelt,GER,MF,26.0,1998.0,2254.0,32.0,27.0,Vitaly Janelt,100.0,20000000.0,1,1
ENG-Premier League,2425,Fulham,Sander Berge,NOR,MF,26.0,1998.0,2224.0,31.0,26.0,Sander Berge,100.0,25000000.0,1,2
ENG-Premier League,2425,Aston Villa,John McGinn,SCO,MF,29.0,1994.0,2223.0,34.0,27.0,John McGinn,100.0,16000000.0,0,0
ENG-Premier League,2425,Manchester City,İlkay Gündoğan,GER,MF,33.0,1990.0,2223.0,33.0,25.0,İlkay Gündoğan,100.0,5000000.0,0,0
ENG-Premier League,2425,Chelsea,Nicolas Jackson,SEN,FW,23.0,2001.0,2220.0,30.0,28.0,Nicolas Jackson,100.0,50000000.0,2,3
ENG-Premier League,2425,Ipswich Town,Jacob Greaves,ENG,DF,23.0,2000.0,2205.0,25.0,25.0,Jacob Greaves,100.0,18000000.0,3,1
ENG-Premier League,2425,Tottenham,Dominic Solanke,ENG,FW,26.0,1997.0,2201.0,27.0,25.0,Dominic Solanke,100.0,40000000.0,2,3
ENG-Premier League,2425,Manchester Utd,Alejandro Garnacho,ARG,MF,20.0,2004.0,2199.0,36.0,23.0,Alejandro Garnacho,100.0,45000000.0,0,3
ENG-Premier League,2425,Manchester City,Mateo Kovačić,CRO,"MF,DF",30.0,1994.0,2198.0,31.0,25.0,Mateo Kovacic,100.0,20000000.0,3,0
ENG-Premier League,2425,Nottingham,Callum Hudson-Odoi,ENG,MF,23.0,2000.0,2194.0,31.0,25.0,Callum Hudson-Odoi,100.0,25000000.0,0,0
ENG-Premier League,2425,Newcastle,Lewis Hall,ENG,DF,19.0,2004.0,2189.0,27.0,24.0,Lewis Hall,100.0,32000000.0,1,2
ENG-Premier League,2425,Leicester City,Bilal El Khannouss,MAR,MF,20.0,2004.0,2182.0,32.0,27.0,Bilal El Khannouss,100.0,28000000.0,0,0
ENG-Premier League,2425,Tottenham,Brennan Johnson,WAL,"FW,MF",23.0,2001.0,2177.0,33.0,24.0,Brennan Johnson,100.0,40000000.0,2,3
ENG-Premier League,2425,Leicester City,Boubakary Soumaré,FRA,MF,25.0,1999.0,2171.0,31.0,25.0,Boubakary Soumaré,100.0,12000000.0,1,2
ENG-Premier League,2425,Southampton,Flynn Downes,ENG,MF,25.0,1999.0,2151.0,27.0,25.0,Flynn Downes,100.0,13000000.0,1,1
ENG-Premier League,2425,Manchester Utd,Matthijs de Ligt,NED,DF,24.0,1999.0,2123.0,29.0,25.0,Matthijs de Ligt,100.0,38000000.0,3,1
ENG-Premier League,2425,Bournemouth,Ryan Christie,SCO,MF,29.0,1995.0,2117.0,29.0,27.0,Ryan Christie,100.0,10000000.0,1,1
ENG-Premier League,2425,Brighton,Danny Welbeck,ENG,FW,33.0,1990.0,2115.0,30.0,24.0,Danny Welbeck,100.0,5000000.0,2,3
ENG-Premier League,2425,West Ham,Emerson Palmieri,ITA,"DF,MF",29.0,1994.0,2113.0,31.0,26.0,Emerson,90.0,10000000.0,3,0
ENG-Premier League,2425,Tottenham,Son Heung-min,KOR,"FW,MF",32.0,1992.0,2110.0,30.0,24.0,Heung-min Son,95.0,20000000.0,2,0
ENG-Premier League,2425,Wolves,Matt Doherty,IRL,"DF,MF",32.0,1992.0,2109.0,30.0,25.0,Matt Doherty,100.0,2000000.0,3,1
ENG-Premier League,2425,Crystal Palace,Will Hughes,ENG,MF,29.0,1995.0,2108.0,33.0,24.0,Will Hughes,100.0,7000000.0,1,2
ENG-Premier League,2425,Brighton,Lewis Dunk,ENG,DF,32.0,1991.0,2083.0,25.0,23.0,Lewis Dunk,100.0,6000000.0,1,2
ENG-Premier League,2425,Everton,Jack Harrison,ENG,"MF,FW",27.0,1996.0,2076.0,34.0,24.0,Jack Harrison,100.0,14000000.0,0,0
ENG-Premier League,2425,Aston Villa,Matty Cash,POL,DF,26.0,1997.0,2070.0,27.0,24.0,Matty Cash,100.0,25000000.0,1,1
ENG-Premier League,2425,West Ham,Konstantinos Mavropanos,GRE,DF,26.0,1997.0,2045.0,33.0,21.0,Konstantinos Mavropanos,100.0,17000000.0,1,2
ENG-Premier League,2425,Fulham,Emile Smith Rowe,ENG,MF,24.0,2000.0,2043.0,34.0,25.0,Emile Smith Rowe,100.0,30000000.0,3,0
ENG-Premier League,2425,Chelsea,Noni Madueke,ENG,MF,22.0,2002.0,2033.0,32.0,27.0,Noni Madueke,100.0,40000000.0,2,3
ENG-Premier League,2425,Aston Villa,Pau Torres,ESP,DF,27.0,1997.0,2020.0,24.0,23.0,Pau Torres,100.0,32000000.0,1,2
ENG-Premier League,2425,Manchester City,Manuel Akanji,SUI,"DF,MF",29.0,1995.0,2014.0,26.0,23.0,Manuel Akanji,100.0,28000000.0,1,2
ENG-Premier League,2425,Fulham,Andreas Pereira,BRA,MF,28.0,1996.0,2013.0,33.0,25.0,Andreas Pereira,100.0,18000000.0,0,0
ENG-Premier League,2425,Southampton,Joe Aribo,NGA,MF,28.0,1996.0,2013.0,32.0,21.0,Joe Aribo,100.0,6000000.0,3,1
ENG-Premier League,2425,Bournemouth,Dango Ouattara,BFA,"MF,FW",22.0,2002.0,2005.0,32.0,21.0,Dango Ouattara,100.0,28000000.0,0,0
ENG-Premier League,2425,Manchester Utd,Rasmus Højlund,DEN,FW,21.0,2003.0,2004.0,32.0,23.0,Rasmus Højlund,100.0,35000000.0,0,3
ENG-Premier League,2425,Brighton,Yasin Ayari,SWE,MF,20.0,2003.0,1965.0,34.0,22.0,Yasin Ayari,100.0,22000000.0,1,0
ENG-Premier League,2425,Bournemouth,Tyler Adams,USA,MF,25.0,1999.0,1965.0,28.0,21.0,Tyler Adams,100.0,18000000.0,1,2
ENG-Premier League,2425,Nottingham,Nicolás Domínguez,ARG,MF,26.0,1998.0,1963.0,34.0,23.0,Nicolás Domínguez,100.0,18000000.0,1,2
ENG-Premier League,2425,Ipswich Town,Jens Cajuste,SWE,MF,24.0,1999.0,1959.0,30.0,25.0,Jens Cajuste,100.0,12000000.0,3,1
ENG-Premier League,2425,Brighton,João Pedro,BRA,"FW,MF",22.0,2001.0,1948.0,27.0,23.0,João Pedro,100.0,50000000.0,2,3
ENG-Premier League,2425,Bournemouth,Marcus Tavernier,ENG,MF,25.0,1999.0,1939.0,29.0,20.0,Marcus Tavernier,100.0,18000000.0,0,0
ENG-Premier League,2425,Liverpool,Cody Gakpo,NED,MF,25.0,1999.0,1935.0,35.0,23.0,Cody Gakpo,100.0,70000000.0,2,0
ENG-Premier League,2425,Tottenham,Destiny Udogie,ITA,DF,21.0,2002.0,1924.0,25.0,24.0,Destiny Udogie,100.0,40000000.0,1,2
ENG-Premier League,2425,Crystal Palace,Chris Richards,USA,DF,24.0,2000.0,1922.0,24.0,22.0,Chris Richards,100.0,14000000.0,1,1
ENG-Premier League,2425,Nottingham,Ryan Yates,ENG,MF,26.0,1997.0,1915.0,35.0,18.0,Ryan Yates,100.0,12000000.0,1,0
ENG-Premier League,2425,Brentford,Ethan Pinnock,JAM,DF,31.0,1993.0,1913.0,22.0,21.0,Ethan Pinnock,100.0,7000000.0,3,1
ENG-Premier League,2425,Tottenham,Pape Matar Sarr,SEN,MF,21.0,2002.0,1913.0,36.0,22.0,Pape Matar Sarr,100.0,32000000.0,3,1
ENG-Premier League,2425,Manchester Utd,Amad Diallo,CIV,"MF,FW",22.0,2002.0,1901.0,26.0,20.0,Amad Diallo,100.0,45000000.0,2,0
ENG-Premier League,2425,Manchester City,Rico Lewis,ENG,"DF,MF",19.0,2004.0,1893.0,28.0,21.0,Rico Lewis,100.0,40000000.0,3,1
