goals_p90,assists_p90,goals_assists_p90,non_penalty_goals_p90,np_goals_assists_p90,shots_p90,shots_on_target_p90,shots_on_target_pct,goals_per_shot,goals_per_shot_on_target,interceptions_p90,tackles_won_p90,fouls_committed_p90,fouls_drawn_p90,crosses_p90,offsides_p90,attacking_index,creativity_index,defensive_index,discipline_index
2.4608319733464015,-0.29647409945968667,1.7098898338319806,2.5762872585692542,1.7304664776347352,1.360830502174093,1.450589488702235,0.6503422229439193,1.477530628774727,1.133411242586217,-1.1239336387241456,-1.6087768056378806,-0.868817802669262,-0.5935448349246265,-0.8510296751827723,2.4071121870660237,1.543833462653288,-0.8252485277178663,-1.5860314189622815,0.07361581089900689
0.41497209338642094,0.4025356763063494,0.4874454682908074,0.535994177253623,0.5798151623622115,-0.2444324458910467,0.526699615792247,2.185654749873878,1.2547362826381876,0.20157908436923125,-0.7450943412849813,-0.41417881322900363,-0.18103180959793028,-0.2728061361284655,0.3526282637439286,1.9868240373645676,-0.004581455648891116,0.3871454558111923,-0.6708927650239974,-0.12207150818512416
-0.40544656690949343,-0.9927692741547857,-0.7400141597694926,-0.3732200015277813,-0.7410709351659298,-1.1055997896204661,-0.6549382222474877,2.7445643555999206,2.2504906051668034,0.5622883069048389,-0.3658386257395367,0.7081237507804801,-0.5214400710412113,-0.21797041086029803,-0.665373926456726,-0.28665679303016994,-1.0314628139140256,-0.7681950588300435,0.20231197508195023,0.1715740414709811
-0.8163768273389059,-0.6428516756083632,-0.8933707945316135,-0.8286260488963232,-0.9061001077677965,-0.7293605806088312,-0.7388138911956643,-0.562478640218531,-1.0686904699285833,-1.1510805001392965,0.39451359930425334,-0.25914618131281275,-0.10567515828078733,-0.48136509659306,-0.23765188922260877,-0.5709589107608765,-0.8195244406476639,-0.3209618494753059,0.07612174694803753,-0.36805819780818533
-0.8163768273389059,-0.9927692741547857,-1.0473283565459366,-0.8286260488963232,-1.071775946406504,-0.9531734464161906,-0.8225184141574302,-0.30403349381485617,-1.0686904699285833,-1.1510805001392965,0.32677659972588585,-0.2518010425806496,-0.7178876637945365,-0.6904360531885027,-0.7942576501554198,-0.7135273244672904,-1.0297545209010037,-0.8859183457007787,0.04138045643150854,-0.12345445743660206
0.4266023075136971,0.06359353515241989,0.3470145693240451,0.5488831522349688,0.4286955508751095,0.749219253852078,0.2009104398284872,-0.3376577348010487,0.17600243323218617,0.5622883069048389,-0.8120661079097051,-0.2473662091123754,2.6739989351293296,0.5982763311775041,-0.7004558254844284,0.4342017077162617,0.6459636160973214,-0.6295240834074401,-0.6121671840669797,-1.3585173286201866
-0.4013971950093222,-0.9927692741547857,-0.7369858369790274,-0.368732358175707,-0.7378121155833466,-0.8379315989725443,-0.8215128790791477,-0.707524385649165,0.5909000676191093,1.7045341782675953,0.869436543905255,0.7360906089513045,0.6734609549853916,-1.169559679014129,-0.47544009167913803,-0.5698349973694187,-0.8421966438095495,-0.5947081771951405,0.9303200309691633,-1.5586223763178109
-0.8163768273389059,1.4779112372386751,0.03972742353073949,-0.8286260488963232,0.09801964956755081,-0.6859186603696267,-0.6504362577842553,-0.26916391056991595,-1.0686904699285833,-1.1510805001392965,1.2536181136891587,1.342205430248418,-0.0865927174741288,1.302133371425659,1.5294838728438735,-0.42591593681656,-0.4687087510770102,1.635881137365302,1.5052425599206847,1.2616346829718965
-0.6086413641936509,0.06651166445989827,-0.42590848903113815,-0.5984069697017294,-0.40305752588688987,-0.6856494512188632,-0.6502676759351103,-0.26916391056991595,-0.42329414977114765,-0.2943960966172288,-0.5037115025603024,-0.6197231577350887,0.9543334649028712,-0.9539463447081191,-0.9434247855627509,-0.5696648801708026,-0.6283394683378926,-0.8509820277555077,-0.6517271797653927,-1.560554781432906
-0.3989290370057757,-0.9927692741547857,-0.7351400250069797,-0.36599706659727327,-0.7358258120693307,-0.8728723890492321,-0.8199896250083397,-0.593719262311283,0.7185608781997013,1.7045341782675953,0.9616999540956419,-0.5366665037318756,-0.28416016733260935,-1.3283674453845353,-0.9057633369225376,-0.2798864436021427,-0.8661337949211748,-0.9877684131436764,0.24100883112993535,-1.0210149797351638
-0.8163768273389059,-0.2820946915628855,-0.734644094377053,-0.8286260488963232,-0.7352921343340852,-0.9102402322888916,-1.0776226635176631,-2.18699098904163,-1.0686904699285833,-1.1510805001392965,0.4273729352501862,-0.3061615333874707,0.6261543032872656,-1.2195950522260584,-0.8868428712633359,-0.7135273244672904,-0.8922409916125323,-0.8556367445222662,0.0676267838342394,-1.5709387089457378
-0.18896125688589352,-0.9927692741547857,-0.5781156198705794,-0.133304062389646,-0.5668497015922304,-0.29934323290301745,-0.1310916405636636,0.5253644505112226,0.17600243323218617,0.01712550466352291,1.2749337612499683,0.15069207409609187,-0.41975686040708526,-0.5160048652379429,-0.9056885227615519,0.5899795903621525,-0.40892733676847826,-0.987700077370291,0.822449271885616,-0.17565811314290602
-0.6069887352107926,-0.2809639444147677,-0.5775557001370768,-0.5965754734471976,-0.5662471643072494,-0.22163738927681587,-0.38841500176161575,-0.34587699370878444,-0.6814526778341219,-0.6156527479380042,-0.4169145089346628,-0.3793719379857831,0.8404822259241279,-0.6771004222046638,1.4367967453238597,-0.5685203897627158,-0.3540916840991155,1.2669745287603884,-0.4615099633812965,-1.2241554012848332
-0.8163768273389059,-0.6358728643090732,-0.890300240841659,-0.8286260488963232,-0.90279584293655,-0.6782996226093669,-0.6456651292000767,-0.26916391056991595,-1.0686904699285833,-1.1510805001392965,1.3641882527815157,1.3046602820289632,0.8492635681528281,0.5208854452160919,-0.015198519096798337,-0.7135273244672904,-0.7825639953731804,-0.11664357797328537,1.547044508880636,-0.1265987776334205
-0.3957602363600188,0.43709776457186705,-0.10365399920524601,-0.3624853004511758,-0.05627506091107737,-0.1782158358747842,-0.21232698750153095,0.04016303757068303,-0.31919796910059356,-0.2943960966172288,0.8273023237930567,1.463042503114887,0.4331306903716479,-0.2917064811369961,0.612415850592,-0.1309505224740012,-0.16090015320320478,0.6300226947250555,1.3301150702941102,-0.5781214698501289
0.02654016803351576,-0.6345870085490204,-0.2593590089265914,0.10552150383242315,-0.2238313519325737,0.24722599580110172,0.1362160506119327,0.11440150512442697,0.037703221769878566,0.07275436203508576,-0.3309644848611961,0.09143912518782125,0.5089462976728251,-0.07079892585314365,-0.487145329338805,-0.4216558802340632,0.08483192994527261,-0.5475152642355776,-0.13734104257129143,-0.4287240344280509
0.23726941687662143,0.4399597882682777,0.3710164691688846,-0.36155227253195005,-0.054242433037787884,0.824126225874459,0.5697298770867882,0.11440150512442697,-0.04964364862736845,-0.023864179715523362,-0.40852312108542266,-0.6745581650130857,-0.686765305838076,-0.725026822767539,2.3836129160701884,0.7458298966988459,0.7068770576725902,2.2483088967667717,-0.6288734110371256,-0.17755411176452193
-0.8163768273389059,0.442257669683551,-0.41594185122015526,-0.8286260488963232,-0.39233229059387303,-0.8673125561454865,-0.9907808400586264,-1.6559004134648476,-1.0686904699285833,-1.1510805001392965,0.37042183486663444,1.4760084051500064,0.7952537696960967,1.897655820917355,-0.6197084766211898,-0.7135273244672904,-0.7526658074833529,-0.4945743351050735,1.074450902052833,1.1805359608506418
