league,season,team,player,nation,pos,age,born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK
GER-Bundesliga,2324,RB Leipzig,Xaver Schlager,AUT,MF,25,1997,29,29,2477,27.5,0,5,5,0,0,0,7,0,0.0,0.18,0.18,0.0,0.18
GER-Bundesliga,2324,RB Leipzig,Xavi Simons,NED,MF,20,2003,32,32,2653,29.5,8,11,19,7,1,2,11,1,0.27,0.37,0.64,0.24,0.61
GER-Bundesliga,2324,RB Leipzig,Yussuf Poulsen,DEN,FW,29,1994,28,12,1217,13.5,5,2,7,5,0,0,0,0,0.37,0.15,0.52,0.37,0.52
GER-Bundesliga,2324,Stuttgart,Alexander Nübel,GER,GK,26,1996,30,30,2700,30.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GER-Bundesliga,2324,Stuttgart,Angelo Stiller,GER,MF,22,2001,31,30,2694,29.9,1,5,6,1,0,0,5,0,0.03,0.17,0.2,0.03,0.2
GER-Bundesliga,2324,Stuttgart,Anthony Rouault,FRA,DF,22,2001,22,11,1010,11.2,0,2,2,0,0,0,3,0,0.0,0.18,0.18,0.0,0.18
GER-Bundesliga,2324,Stuttgart,Atakan Karazor,TUR,MF,26,1996,33,31,2623,29.1,0,4,4,0,0,0,9,0,0.0,0.14,0.14,0.0,0.14
GER-Bundesliga,2324,Stuttgart,Borna Sosa,CRO,"DF,MF",25,1998,2,0,46,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
GER-Bundesliga,2324,Stuttgart,Chris Führich,GER,MF,25,1998,34,33,2567,28.5,8,7,15,8,0,1,2,0,0.28,0.25,0.53,0.28,0.53
GER-Bundesliga,2324,Stuttgart,Dan-Axel Zagadou,FRA,DF,24,1999,19,16,1453,16.1,1,0,1,1,0,0,1,0,0.06,0.0,0.06,0.06,0.06
GER-Bundesliga,2324,Stuttgart,Deniz Undav,GER,"FW,MF",27,1996,30,23,2089,23.2,18,10,28,18,0,1,5,0,0.78,0.43,1.21,0.78,1.21
GER-Bundesliga,2324,Stuttgart,Enzo Millot,FRA,MF,21,2002,31,27,2241,24.9,5,4,9,4,1,1,5,0,0.2,0.16,0.36,0.16,0.32
GER-Bundesliga,2324,Stuttgart,Fabian Bredlow,GER,GK,28,1995,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
GER-Bundesliga,2324,Stuttgart,Genki Haraguchi,JPN,"FW,MF",32,1991,2,0,27,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
GER-Bundesliga,2324,Stuttgart,Hiroki Ito,JPN,DF,24,1999,26,25,2228,24.8,0,2,2,0,0,0,1,0,0.0,0.08,0.08,0.0,0.08
GER-Bundesliga,2324,Stuttgart,Jamie Leweling,GER,MF,22,2001,34,17,1523,16.9,4,4,8,4,0,0,3,0,0.24,0.24,0.47,0.24,0.47
GER-Bundesliga,2324,Stuttgart,Jeong Woo-yeong,KOR,MF,23,1999,26,5,633,7.0,2,3,5,2,0,0,1,0,0.28,0.43,0.71,0.28,0.71
GER-Bundesliga,2324,Stuttgart,Josha Vagnoman,GER,"MF,DF",22,2000,18,12,1183,13.1,2,2,4,2,0,0,2,0,0.15,0.15,0.3,0.15,0.3
GER-Bundesliga,2324,Stuttgart,Jovan Milošević,SRB,FW,18,2005,5,0,28,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
GER-Bundesliga,2324,Stuttgart,Leonidas Stergiou,SUI,DF,21,2002,15,6,594,6.6,1,0,1,1,0,0,0,0,0.15,0.0,0.15,0.15,0.15
GER-Bundesliga,2324,Stuttgart,Lilian Egloff,GER,MF,20,2002,5,1,106,1.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GER-Bundesliga,2324,Stuttgart,Luca Raimund,GER,MF,18,2005,3,0,30,0.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GER-Bundesliga,2324,Stuttgart,Mahmoud Dahoud,GER,MF,27,1996,13,1,227,2.5,1,0,1,1,0,0,0,0,0.4,0.0,0.4,0.4,0.4
GER-Bundesliga,2324,Stuttgart,Maximilian Mittelstädt,GER,"DF,MF",26,1997,31,23,2103,23.4,2,4,6,2,0,0,5,0,0.09,0.17,0.26,0.09,0.26
GER-Bundesliga,2324,Stuttgart,Pascal Stenzel,GER,DF,27,1996,23,14,1064,11.8,0,5,5,0,0,0,3,1,0.0,0.42,0.42,0.0,0.42
GER-Bundesliga,2324,Stuttgart,Roberto Massimo,GER,"FW,MF",22,2000,5,0,84,0.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GER-Bundesliga,2324,Stuttgart,Samuele Di Benedetto,GER,MF,18,2005,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
GER-Bundesliga,2324,Stuttgart,Serhou Guirassy,GUI,FW,27,1996,28,25,2208,24.5,28,3,31,24,4,4,0,0,1.14,0.12,1.26,0.98,1.1
GER-Bundesliga,2324,Stuttgart,Silas Katompa,COD,MF,24,1998,27,8,900,10.0,5,2,7,5,0,1,0,0,0.5,0.2,0.7,0.5,0.7
GER-Bundesliga,2324,Stuttgart,Waldemar Anton,GER,DF,27,1996,33,32,2886,32.1,0,3,3,0,0,0,7,0,0.0,0.09,0.09,0.0,0.09
GER-Bundesliga,2324,Union Berlin,Alex Král,CZE,MF,25,1998,24,13,1370,15.2,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0
GER-Bundesliga,2324,Union Berlin,Alexander Schwolow,GER,GK,31,1992,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
GER-Bundesliga,2324,Union Berlin,Aljoscha Kemlein,GER,MF,18,2004,2,0,29,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
GER-Bundesliga,2324,Union Berlin,András Schäfer,HUN,MF,24,1999,20,14,1214,13.5,1,2,3,1,0,0,1,1,0.07,0.15,0.22,0.07,0.22
GER-Bundesliga,2324,Union Berlin,Aïssa Laïdouni,TUN,MF,26,1996,23,10,1071,11.9,0,3,3,0,0,0,2,0,0.0,0.25,0.25,0.0,0.25
GER-Bundesliga,2324,Union Berlin,Benedict Hollerbach,GER,"FW,MF",22,2001,28,15,1282,14.2,5,0,5,5,0,0,2,0,0.35,0.0,0.35,0.35,0.35
GER-Bundesliga,2324,Union Berlin,Brenden Aaronson,USA,"MF,FW",22,2000,30,14,1267,14.1,2,2,4,2,0,0,3,1,0.14,0.14,0.28,0.14,0.28
GER-Bundesliga,2324,Union Berlin,Chris Bedia,CIV,FW,27,1996,7,0,145,1.6,1,0,1,1,0,0,0,0,0.62,0.0,0.62,0.62,0.62
GER-Bundesliga,2324,Union Berlin,Christopher Trimmel,AUT,"MF,DF",36,1987,26,19,1646,18.3,0,2,2,0,0,0,2,1,0.0,0.11,0.11,0.0,0.11
GER-Bundesliga,2324,Union Berlin,Danilho Doekhi,NED,DF,25,1998,24,24,2160,24.0,2,0,2,2,0,0,2,0,0.08,0.0,0.08,0.08,0.08
GER-Bundesliga,2324,Union Berlin,David Datro Fofana,CIV,"FW,MF",20,2002,12,8,682,7.6,1,0,1,1,0,0,0,0,0.13,0.0,0.13,0.13,0.13
GER-Bundesliga,2324,Union Berlin,Diogo Leite,POR,DF,24,1999,32,31,2702,30.0,0,0,0,0,0,0,6,0,0.0,0.0,0.0,0.0,0.0
GER-Bundesliga,2324,Union Berlin,Frederik Rønnow,DEN,GK,30,1992,33,33,2970,33.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0
GER-Bundesliga,2324,Union Berlin,Janik Haberer,GER,MF,29,1994,21,14,1221,13.6,1,1,2,1,0,0,7,0,0.07,0.07,0.15,0.07,0.15
GER-Bundesliga,2324,Union Berlin,Jordan Pefok,USA,FW,27,1996,1,0,27,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
GER-Bundesliga,2324,Union Berlin,Josip Juranović,CRO,"MF,DF",27,1995,21,14,1294,14.4,0,2,2,0,0,1,4,0,0.0,0.14,0.14,0.0,0.14
GER-Bundesliga,2324,Union Berlin,Jérôme Roussillon,GLP,"DF,MF",30,1993,23,8,752,8.4,0,1,1,0,0,0,2,0,0.0,0.12,0.12,0.0,0.12
GER-Bundesliga,2324,Union Berlin,Kevin Behrens,GER,FW,32,1991,18,14,1262,14.0,4,0,4,4,0,0,3,0,0.29,0.0,0.29,0.29,0.29
GER-Bundesliga,2324,Union Berlin,Kevin Vogt,GER,DF,31,1991,16,16,1323,14.7,0,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0
GER-Bundesliga,2324,Union Berlin,Kevin Volland,GER,"FW,MF",31,1992,26,17,1345,14.9,3,4,7,1,2,3,3,2,0.2,0.27,0.47,0.07,0.33
GER-Bundesliga,2324,Union Berlin,Leonardo Bonucci,ITA,DF,36,1987,7,6,460,5.1,1,0,1,0,1,1,0,0,0.2,0.0,0.2,0.0,0.0
GER-Bundesliga,2324,Union Berlin,Lucas Tousart,FRA,MF,26,1997,23,18,1572,17.5,0,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0
GER-Bundesliga,2324,Union Berlin,Mikkel Kaufmann,DEN,FW,22,2001,18,4,486,5.4,1,0,1,1,0,0,0,0,0.19,0.0,0.19,0.19,0.19
GER-Bundesliga,2324,Union Berlin,Miloš Pantović,SRB,"FW,MF",27,1996,1,0,15,0.2,1,0,1,1,0,0,0,0,6.0,0.0,6.0,6.0,6.0
GER-Bundesliga,2324,Union Berlin,Paul Jaeckel,GER,DF,25,1998,6,2,234,2.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
GER-Bundesliga,2324,Union Berlin,Rani Khedira,TUN,MF,29,1994,20,18,1343,14.9,0,0,0,0,0,0,5,1,0.0,0.0,0.0,0.0,0.0
GER-Bundesliga,2324,Union Berlin,Robin Gosens,GER,"MF,DF",29,1994,30,27,2283,25.4,6,3,9,6,0,0,9,1,0.24,0.12,0.35,0.24,0.35
GER-Bundesliga,2324,Union Berlin,Robin Knoche,GER,DF,31,1992,24,20,1917,21.3,1,0,1,1,0,1,1,0,0.05,0.0,0.05,0.05,0.05
GER-Bundesliga,2324,Union Berlin,Sheraldo Becker,SUR,"FW,MF",28,1995,11,7,645,7.2,0,1,1,0,0,0,0,0,0.0,0.14,0.14,0.0,0.14
GER-Bundesliga,2324,Union Berlin,Yorbe Vertessen,BEL,"FW,MF",22,2001,13,7,593,6.6,3,2,5,3,0,0,1,0,0.46,0.3,0.76,0.46,0.76
GER-Bundesliga,2324,Werder Bremen,Amos Pieper,GER,DF,25,1998,7,7,590,6.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
GER-Bundesliga,2324,Werder Bremen,Anthony Jung,GER,"DF,MF",31,1991,31,30,2579,28.7,1,0,1,1,0,0,4,1,0.03,0.0,0.03,0.03,0.03
GER-Bundesliga,2324,Werder Bremen,Christian Groß,GER,"DF,MF",34,1989,20,8,797,8.9,0,1,1,0,0,0,1,0,0.0,0.11,0.11,0.0,0.11
GER-Bundesliga,2324,Werder Bremen,Dawid Kownacki,POL,FW,26,1997,22,3,380,4.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
GER-Bundesliga,2324,Werder Bremen,Felix Agu,NGA,MF,23,1999,24,19,1614,17.9,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0
GER-Bundesliga,2324,Werder Bremen,Ilia Gruev,BUL,MF,23,2000,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
GER-Bundesliga,2324,Werder Bremen,Isak Hansen-Aarøen,NOR,MF,18,2004,3,0,27,0.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GER-Bundesliga,2324,Werder Bremen,Jens Stage,DEN,MF,26,1996,30,26,2327,25.9,3,1,4,3,0,0,5,1,0.12,0.04,0.15,0.12,0.15
GER-Bundesliga,2324,Werder Bremen,Jiří Pavlenka,CZE,GK,31,1992,7,7,630,7.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
GER-Bundesliga,2324,Werder Bremen,Joel Imasuen,USA,FW,18,2004,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
GER-Bundesliga,2324,Werder Bremen,Julián Malatini,ARG,DF,22,2001,11,6,602,6.7,1,0,1,1,0,0,1,0,0.15,0.0,0.15,0.15,0.15
GER-Bundesliga,2324,Werder Bremen,Justin Njinmah,GER,FW,22,2000,24,10,1016,11.3,6,2,8,6,0,0,1,0,0.53,0.18,0.71,0.53,0.71
GER-Bundesliga,2324,Werder Bremen,Leon Opitz,GER,MF,18,2005,3,0,18,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
GER-Bundesliga,2324,Werder Bremen,Leonardo Bittencourt,GER,MF,29,1993,29,19,1578,17.5,1,2,3,1,0,0,9,0,0.06,0.11,0.17,0.06,0.17
GER-Bundesliga,2324,Werder Bremen,Marco Friedl,AUT,DF,25,1998,25,25,2197,24.4,1,0,1,1,0,0,6,0,0.04,0.0,0.04,0.04,0.04
GER-Bundesliga,2324,Werder Bremen,Marvin Ducksch,GER,FW,29,1994,33,32,2696,30.0,12,9,21,7,5,6,9,0,0.4,0.3,0.7,0.23,0.53
GER-Bundesliga,2324,Werder Bremen,Michael Zetterer,GER,GK,28,1995,27,27,2430,27.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0
GER-Bundesliga,2324,Werder Bremen,Miloš Veljković,SRB,DF,27,1995,23,21,1920,21.3,2,1,3,2,0,0,2,0,0.09,0.05,0.14,0.09,0.14
GER-Bundesliga,2324,Werder Bremen,Mitchell Weiser,GER,MF,29,1994,30,30,2636,29.3,3,7,10,3,0,0,5,0,0.1,0.24,0.34,0.1,0.34
GER-Bundesliga,2324,Werder Bremen,Naby Keïta,GUI,MF,28,1995,5,1,109,1.2,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0
GER-Bundesliga,2324,Werder Bremen,Nick Woltemade,GER,"FW,MF",21,2002,30,12,1189,13.2,2,0,2,2,0,0,1,0,0.15,0.0,0.15,0.15,0.15
GER-Bundesliga,2324,Werder Bremen,Niclas Füllkrug,GER,FW,30,1993,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
GER-Bundesliga,2324,Werder Bremen,Nicolai Rapp,GER,DF,26,1996,2,1,76,0.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GER-Bundesliga,2324,Werder Bremen,Niklas Stark,GER,DF,28,1995,17,12,1088,12.1,2,0,2,2,0,0,4,0,0.17,0.0,0.17,0.17,0.17
GER-Bundesliga,2324,Werder Bremen,Oliver Burke,SCO,"FW,MF",26,1997,1,0,32,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
GER-Bundesliga,2324,Werder Bremen,Olivier Deman,BEL,MF,23,2000,29,14,1365,15.2,2,1,3,2,0,0,5,0,0.13,0.07,0.2,0.13,0.2
GER-Bundesliga,2324,Werder Bremen,Rafael Borré,COL,FW,27,1995,19,11,991,11.0,4,0,4,4,0,0,0,0,0.36,0.0,0.36,0.36,0.36
GER-Bundesliga,2324,Werder Bremen,Romano Schmid,AUT,"MF,FW",23,2000,33,30,2601,28.9,4,6,10,4,0,0,5,0,0.14,0.21,0.35,0.14,0.35
GER-Bundesliga,2324,Werder Bremen,Senne Lynen,BEL,MF,24,1999,32,20,1797,20.0,0,3,3,0,0,0,6,0,0.0,0.15,0.15,0.0,0.15
GER-Bundesliga,2324,Werder Bremen,Skelly Alvero,FRA,MF,21,2002,6,1,123,1.4,1,0,1,1,0,0,1,0,0.73,0.0,0.73,0.73,0.73
GER-Bundesliga,2324,Wolfsburg,Amin Sarr,SWE,"MF,FW",22,2001,14,2,386,4.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
GER-Bundesliga,2324,Wolfsburg,Aster Vranckx,BEL,MF,20,2002,24,12,1153,12.8,0,0,0,0,0,0,6,0,0.0,0.0,0.0,0.0,0.0
GER-Bundesliga,2324,Wolfsburg,Bennit Bröger,GER,MF,17,2006,1,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
GER-Bundesliga,2324,Wolfsburg,Cedric Zesiger,SUI,DF,25,1998,23,18,1634,18.2,0,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0
GER-Bundesliga,2324,Wolfsburg,Dženan Pejčinović,GER,FW,18,2005,4,0,37,0.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GER-Bundesliga,2324,Wolfsburg,Jakub Kamiński,POL,MF,21,2002,17,4,473,5.3,0,2,2,0,0,0,0,0,0.0,0.38,0.38,0.0,0.38
GER-Bundesliga,2324,Wolfsburg,Joakim Mæhle,DEN,"DF,MF",26,1997,30,27,2452,27.2,2,3,5,2,0,0,5,0,0.07,0.11,0.18,0.07,0.18
GER-Bundesliga,2324,Wolfsburg,Jonas Wind,DEN,FW,24,1999,34,31,2651,29.5,11,7,18,11,0,1,3,0,0.37,0.24,0.61,0.37,0.61
GER-Bundesliga,2324,Wolfsburg,Kevin Behrens,GER,FW,32,1991,13,7,616,6.8,1,1,2,1,0,0,1,0,0.15,0.15,0.29,0.15,0.29
GER-Bundesliga,2324,Wolfsburg,Kevin Paredes,USA,"MF,DF",20,2003,28,15,1432,15.9,3,0,3,3,0,0,4,0,0.19,0.0,0.19,0.19,0.19
GER-Bundesliga,2324,Wolfsburg,Kilian Fischer,GER,"MF,DF",22,2000,6,4,291,3.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GER-Bundesliga,2324,Wolfsburg,Koen Casteels,BEL,GK,31,1992,25,25,2250,25.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0
GER-Bundesliga,2324,Wolfsburg,Kofi Amoako,GER,MF,18,2005,2,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
GER-Bundesliga,2324,Wolfsburg,Lovro Majer,CRO,"MF,FW",25,1998,32,25,2106,23.4,5,5,10,3,2,2,5,0,0.21,0.21,0.43,0.13,0.34
GER-Bundesliga,2324,Wolfsburg,Lukas Nmecha,GER,FW,24,1998,3,0,42,0.5,1,0,1,1,0,0,0,0,2.14,0.0,2.14,2.14,2.14
GER-Bundesliga,2324,Wolfsburg,Mattias Svanberg,SWE,MF,24,1999,25,20,1715,19.1,1,3,4,1,0,0,8,0,0.05,0.16,0.21,0.05,0.21
GER-Bundesliga,2324,Wolfsburg,Maxence Lacroix,FRA,DF,23,2000,28,27,2362,26.2,4,1,5,4,0,0,5,3,0.15,0.04,0.19,0.15,0.19
GER-Bundesliga,2324,Wolfsburg,Maximilian Arnold,GER,MF,29,1994,30,27,2506,27.8,2,1,3,2,0,0,9,0,0.07,0.04,0.11,0.07,0.11
GER-Bundesliga,2324,Wolfsburg,Moritz Jenz,GER,DF,24,1999,22,21,1742,19.4,0,1,1,0,0,0,7,1,0.0,0.05,0.05,0.0,0.05
GER-Bundesliga,2324,Wolfsburg,Nicolas Cozza,FRA,DF,24,1999,6,3,276,3.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GER-Bundesliga,2324,Wolfsburg,Patrick Wimmer,AUT,"MF,FW",22,2001,14,8,589,6.5,2,0,2,2,0,0,3,1,0.31,0.0,0.31,0.31,0.31
GER-Bundesliga,2324,Wolfsburg,Pavao Pervan,AUT,GK,35,1987,9,9,810,9.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GER-Bundesliga,2324,Wolfsburg,Ridle Baku,GER,"MF,DF",25,1998,33,22,2013,22.4,1,0,1,1,0,0,4,0,0.04,0.0,0.04,0.04,0.04
GER-Bundesliga,2324,Wolfsburg,Rogério,BRA,"DF,MF",25,1998,13,10,906,10.1,1,0,1,1,0,0,0,0,0.1,0.0,0.1,0.1,0.1
GER-Bundesliga,2324,Wolfsburg,Sebastiaan Bornauw,BEL,DF,24,1999,20,16,1431,15.9,0,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0
GER-Bundesliga,2324,Wolfsburg,Tiago Tomás,POR,"FW,MF",21,2002,26,11,1032,11.5,1,1,2,1,0,0,3,0,0.09,0.09,0.17,0.09,0.17
GER-Bundesliga,2324,Wolfsburg,Václav Černý,CZE,"MF,FW",25,1997,22,12,921,10.2,4,1,5,4,0,0,2,0,0.39,0.1,0.49,0.39,0.49
GER-Bundesliga,2324,Wolfsburg,Yannick Gerhardt,GER,MF,29,1994,25,18,1630,18.1,2,1,3,2,0,0,5,0,0.11,0.06,0.17,0.11,0.17
ITA-Serie A,2324,Atalanta,Ademola Lookman,NGA,"FW,MF",25,1997,31,22,1894,21.0,11,7,18,11,0,0,4,0,0.52,0.33,0.86,0.52,0.86
ITA-Serie A,2324,Atalanta,Aleksei Miranchuk,RUS,"MF,FW",27,1995,27,12,1176,13.1,3,5,8,3,0,0,1,0,0.23,0.38,0.61,0.23,0.61
ITA-Serie A,2324,Atalanta,Berat Djimsiti,ALB,DF,30,1993,37,32,2832,31.5,0,1,1,0,0,0,5,0,0.0,0.03,0.03,0.0,0.03
ITA-Serie A,2324,Atalanta,Charles De Ketelaere,BEL,"FW,MF",22,2001,35,25,2026,22.5,10,8,18,9,1,1,1,0,0.44,0.36,0.8,0.4,0.76
ITA-Serie A,2324,Atalanta,Davide Zappacosta,ITA,MF,31,1992,31,23,1867,20.7,2,1,3,2,0,0,5,0,0.1,0.05,0.14,0.1,0.14
ITA-Serie A,2324,Atalanta,Duván Zapata,COL,FW,32,1991,2,2,112,1.2,1,0,1,1,0,0,0,0,0.8,0.0,0.8,0.8,0.8
ITA-Serie A,2324,Atalanta,El Bilal Touré,MLI,FW,21,2001,11,3,394,4.4,2,0,2,2,0,0,2,0,0.46,0.0,0.46,0.46,0.46
ITA-Serie A,2324,Atalanta,Emil Holm,SWE,MF,23,2000,22,12,947,10.5,1,1,2,1,0,0,5,0,0.1,0.1,0.19,0.1,0.19
ITA-Serie A,2324,Atalanta,Francesco Rossi,ITA,GK,32,1991,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ITA-Serie A,2324,Atalanta,Gianluca Scamacca,ITA,FW,24,1999,29,17,1453,16.1,12,6,18,12,0,0,1,0,0.74,0.37,1.11,0.74,1.11
ITA-Serie A,2324,Atalanta,Giorgio Scalvini,ITA,DF,19,2003,33,31,2544,28.3,1,3,4,1,0,0,3,0,0.04,0.11,0.14,0.04,0.14
ITA-Serie A,2324,Atalanta,Giovanni Bonfanti,ITA,DF,20,2003,2,1,89,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ITA-Serie A,2324,Atalanta,Hans Hateboer,NED,MF,29,1994,23,10,1113,12.4,0,1,1,0,0,0,5,0,0.0,0.08,0.08,0.0,0.08
ITA-Serie A,2324,Atalanta,Isak Hien,SWE,DF,24,1999,16,9,937,10.4,0,1,1,0,0,0,3,0,0.0,0.1,0.1,0.0,0.1
ITA-Serie A,2324,Atalanta,José Luis Palomino,ARG,DF,33,1990,4,0,27,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ITA-Serie A,2324,Atalanta,Juan Musso,ARG,GK,29,1994,11,11,990,11.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ITA-Serie A,2324,Atalanta,Leonardo Mendicino,ITA,MF,17,2006,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ITA-Serie A,2324,Atalanta,Luis Muriel,COL,FW,32,1991,18,2,409,4.5,2,1,3,2,0,0,0,0,0.44,0.22,0.66,0.44,0.66
ITA-Serie A,2324,Atalanta,Marco Carnesecchi,ITA,GK,23,2000,27,27,2425,26.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ITA-Serie A,2324,Atalanta,Mario Pašalić,CRO,MF,28,1995,34,23,2051,22.8,6,6,12,4,2,2,3,0,0.26,0.26,0.53,0.18,0.44
ITA-Serie A,2324,Atalanta,Marten de Roon,NED,"MF,DF",32,1991,30,29,2599,28.9,0,5,5,0,0,0,10,0,0.0,0.17,0.17,0.0,0.17
ITA-Serie A,2324,Atalanta,Matteo Ruggeri,ITA,MF,21,2002,34,28,2449,27.2,0,4,4,0,0,0,3,0,0.0,0.15,0.15,0.0,0.15
ITA-Serie A,2324,Atalanta,Michel Ndary Adopo,FRA,MF,23,2000,10,0,109,1.2,0,1,1,0,0,0,0,0,0.0,0.83,0.83,0.0,0.83
ITA-Serie A,2324,Atalanta,Mitchel Bakker,NED,MF,23,2000,14,3,382,4.2,1,0,1,1,0,0,1,0,0.24,0.0,0.24,0.24,0.24
ITA-Serie A,2324,Atalanta,Nadir Zortea,ITA,"DF,MF",24,1999,5,0,149,1.7,1,0,1,1,0,0,1,0,0.6,0.0,0.6,0.6,0.6
ITA-Serie A,2324,Atalanta,Rafael Tolói,ITA,DF,32,1990,18,10,965,10.7,0,0,0,0,0,0,6,1,0.0,0.0,0.0,0.0,0.0
ITA-Serie A,2324,Atalanta,Sead Kolašinac,BIH,DF,30,1993,30,25,2178,24.2,1,0,1,1,0,0,4,0,0.04,0.0,0.04,0.04,0.04
ITA-Serie A,2324,Atalanta,Teun Koopmeiners,NED,MF,25,1998,34,29,2627,29.2,12,5,17,10,2,2,5,0,0.41,0.17,0.58,0.34,0.51
ITA-Serie A,2324,Atalanta,Éderson Silva,BRA,MF,24,1999,36,32,2869,31.9,6,1,7,6,0,0,8,0,0.19,0.03,0.22,0.19,0.22
ITA-Serie A,2324,Bologna,Alexis Saelemaekers,BEL,MF,24,1999,30,21,1887,21.0,4,2,6,4,0,0,7,1,0.19,0.1,0.29,0.19,0.29
ITA-Serie A,2324,Bologna,Babis Lykogiannis,GRE,DF,29,1993,22,10,904,10.0,2,1,3,2,0,0,2,0,0.2,0.1,0.3,0.2,0.3
ITA-Serie A,2324,Bologna,Dan Ndoye,SUI,"MF,FW",22,2000,32,20,1771,19.7,1,1,2,1,0,0,4,0,0.05,0.05,0.1,0.05,0.1
ITA-Serie A,2324,Bologna,Federico Ravaglia,ITA,GK,23,1999,6,6,535,5.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ITA-Serie A,2324,Bologna,Giovanni Fabbian,ITA,MF,20,2003,27,11,1057,11.7,5,2,7,5,0,0,4,0,0.43,0.17,0.6,0.43,0.6
ITA-Serie A,2324,Bologna,Jens Odgaard,DEN,"MF,FW",24,1999,10,5,431,4.8,2,0,2,2,0,0,1,0,0.42,0.0,0.42,0.42,0.42
ITA-Serie A,2324,Bologna,Jesper Karlsson,SWE,MF,25,1998,7,4,344,3.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ITA-Serie A,2324,Bologna,Jhon Lucumí,COL,DF,25,1998,29,23,2217,24.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
ITA-Serie A,2324,Bologna,Joshua Zirkzee,NED,FW,22,2001,34,32,2759,30.7,11,4,15,9,2,2,8,0,0.36,0.13,0.49,0.29,0.42
