league,season,team,player,nation,pos,age,born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK
ENG-Premier League,2324,Liverpool,Joël Matip,CMR,DF,31,1991,10,9,781,8.7,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2324,Liverpool,Kaide Gordon,ENG,FW,18,2004,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2324,Liverpool,Kostas Tsimikas,GRE,DF,27,1996,13,8,679,7.5,0,3,3,0,0,0,0,0,0.0,0.4,0.4,0.0,0.4
ENG-Premier League,2324,Liverpool,Luis Díaz,COL,FW,26,1997,37,32,2629,29.2,8,5,13,8,0,0,3,0,0.27,0.17,0.45,0.27,0.45
ENG-Premier League,2324,Liverpool,Mohamed Salah,EGY,FW,31,1992,32,28,2534,28.2,18,10,28,13,5,7,2,0,0.64,0.36,0.99,0.46,0.82
ENG-Premier League,2324,Liverpool,Owen Beck,WAL,"DF,MF",20,2002,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2324,Liverpool,Ryan Gravenberch,NED,MF,21,2002,26,12,1121,12.5,1,0,1,1,0,0,0,0,0.08,0.0,0.08,0.08,0.08
ENG-Premier League,2324,Liverpool,Stefan Bajcetic,ESP,MF,18,2004,1,0,26,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2324,Liverpool,Thiago Alcántara,ESP,MF,32,1991,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2324,Liverpool,Trent Alexander-Arnold,ENG,DF,24,1998,28,25,2155,23.9,3,4,7,3,0,0,6,0,0.13,0.17,0.29,0.13,0.29
ENG-Premier League,2324,Liverpool,Virgil van Dijk,NED,DF,32,1991,36,36,3177,35.3,2,2,4,2,0,0,3,1,0.06,0.06,0.11,0.06,0.11
ENG-Premier League,2324,Liverpool,Wataru Endo,JPN,MF,30,1993,29,20,1722,19.1,1,0,1,1,0,0,10,0,0.05,0.0,0.05,0.05,0.05
ENG-Premier League,2324,Luton Town,Albert Sambi Lokonga,BEL,MF,23,1999,17,16,1303,14.5,1,3,4,1,0,0,4,0,0.07,0.21,0.28,0.07,0.28
ENG-Premier League,2324,Luton Town,Alfie Doughty,ENG,"MF,DF",23,1999,37,34,2925,32.5,2,8,10,2,0,0,5,0,0.06,0.25,0.31,0.06,0.31
ENG-Premier League,2324,Luton Town,Amari'i Bell,JAM,DF,29,1994,21,21,1720,19.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2324,Luton Town,Andros Townsend,ENG,"MF,FW",32,1991,27,14,1210,13.4,1,3,4,1,0,0,1,0,0.07,0.22,0.3,0.07,0.3
ENG-Premier League,2324,Luton Town,Carlton Morris,ENG,"FW,MF",27,1995,38,32,2862,31.8,11,4,15,6,5,5,4,0,0.35,0.13,0.47,0.19,0.31
