league,season,team,player,nation,pos,age,born,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG
ENG-Premier League,2425,Wolves,Carlos Forbs,POR,MF,20,2004,2.7,2,0,0,2,1,0,8,1,4,,,0
ENG-Premier League,2425,Wolves,Chiquinho,POR,"FW,MF",24,2000,0.1,0,0,0,1,0,0,1,0,0,,,0
ENG-Premier League,2425,Wolves,Craig Dawson,ENG,DF,34,1990,10.8,2,0,0,6,5,2,0,10,4,,,2
ENG-Premier League,2425,Wolves,Daniel Bentley,ENG,GK,31,1993,2.0,0,0,0,0,0,0,0,0,0,,,0
ENG-Premier League,2425,Wolves,Daniel Podence,POR,"FW,MF",28,1995,0.5,0,0,0,0,2,0,1,0,0,,,0
ENG-Premier League,2425,Wolves,Emmanuel Agbadou,CIV,DF,27,1997,15.7,3,0,0,8,4,1,2,12,19,,,0
ENG-Premier League,2425,Wolves,Gonçalo Guedes,POR,"MF,FW",27,1996,11.1,1,0,0,14,17,3,22,3,6,,,0
ENG-Premier League,2425,Wolves,Hwang Hee-chan,KOR,"MF,FW",28,1996,7.3,0,0,0,6,9,0,7,3,4,,,0
ENG-Premier League,2425,Wolves,Jean-Ricner Bellegarde,HAI,MF,26,1998,18.6,3,0,0,31,46,1,42,8,23,,,0
ENG-Premier League,2425,Wolves,José Sá,POR,GK,31,1993,29.0,2,0,0,4,9,0,0,0,2,,,0
ENG-Premier League,2425,Wolves,João Gomes,BRA,MF,23,2001,33.0,11,1,1,70,46,1,29,25,78,,,0
ENG-Premier League,2425,Wolves,Jørgen Strand Larsen,NOR,FW,24,2000,28.7,4,0,0,46,19,16,6,5,7,,,0
ENG-Premier League,2425,Wolves,Mario Lemina,GAB,"MF,DF",30,1993,15.2,4,0,0,17,8,4,10,26,33,,,0
ENG-Premier League,2425,Wolves,Marshall Munetsi,ZIM,"MF,FW",28,1996,12.0,0,0,0,18,10,3,10,6,11,,,0
ENG-Premier League,2425,Wolves,Mateus Mane,POR,MF,16,2007,0.0,0,0,0,0,0,0,0,0,0,,,0
ENG-Premier League,2425,Wolves,Matheus Cunha,BRA,MF,25,1999,28.9,4,0,0,43,71,8,143,14,23,,,0
ENG-Premier League,2425,Wolves,Matt Doherty,IRL,"DF,MF",32,1992,23.4,6,0,0,18,11,2,22,22,21,,,1
ENG-Premier League,2425,Wolves,Nasser Djiga,BFA,DF,21,2002,0.7,0,0,0,0,1,0,0,2,0,,,0
ENG-Premier League,2425,Wolves,Nélson Semedo,POR,"MF,DF",30,1993,32.1,8,0,0,48,30,4,63,23,38,,,0
ENG-Premier League,2425,Wolves,Pablo Sarabia,ESP,MF,32,1992,9.0,3,0,0,16,15,5,45,4,9,,,0
ENG-Premier League,2425,Wolves,Pedro Lima,BRA,MF,18,2006,0.8,0,0,0,1,1,1,5,2,0,,,0
ENG-Premier League,2425,Wolves,Rayan Aït-Nouri,ALG,"MF,DF",23,2001,34.5,7,1,1,30,46,6,94,24,55,,,0
ENG-Premier League,2425,Wolves,Rodrigo Gomes,POR,MF,21,2003,9.0,0,0,0,4,6,0,23,6,14,,,0
ENG-Premier League,2425,Wolves,Sam Johnstone,ENG,GK,31,1993,7.0,0,0,0,0,0,0,0,0,0,,,0
ENG-Premier League,2425,Wolves,Santiago Bueno,URU,DF,25,1998,18.7,2,0,0,27,5,0,0,13,20,,,0
ENG-Premier League,2425,Wolves,Tom King,WAL,GK,29,1995,0.0,0,0,0,0,0,0,0,0,0,,,0
ENG-Premier League,2425,Wolves,Tommy Doyle,ENG,MF,22,2001,5.4,1,0,0,5,5,0,15,5,7,,,0
ENG-Premier League,2425,Wolves,Toti Gomes,POR,DF,25,1999,29.0,7,0,0,24,15,4,13,26,43,,,0
ENG-Premier League,2425,Wolves,Yerson Mosquera,COL,DF,23,2001,4.9,2,0,0,6,7,1,2,10,6,,,0
ESP-La Liga,2425,Alavés,Abde Rebbach,ALG,"MF,FW",25,1998,4.3,1,0,0,5,6,2,17,0,1,,,0
ESP-La Liga,2425,Alavés,Abdel Abqar,MAR,DF,25,1999,27.4,13,0,0,47,32,2,5,36,22,,,0
ESP-La Liga,2425,Alavés,Adrian Rodriguez,ESP,GK,23,2000,1.4,1,0,0,0,3,0,0,0,0,,,0
ESP-La Liga,2425,Alavés,Aleksandar Sedlar,SRB,DF,32,1991,6.6,1,1,0,9,5,0,0,11,10,,,0
ESP-La Liga,2425,Alavés,Ander Guevara,ESP,MF,27,1997,21.6,3,0,0,38,17,0,4,14,30,,,0
ESP-La Liga,2425,Alavés,Antonio Blanco,ESP,MF,24,2000,30.3,11,1,1,67,27,0,27,41,41,,,0
ESP-La Liga,2425,Alavés,Antonio Sivera,ESP,GK,27,1996,31.2,6,1,0,4,5,0,0,0,1,,,1
ESP-La Liga,2425,Alavés,Asier Villalibre,ESP,FW,26,1997,3.7,2,0,0,11,7,2,2,1,2,,,0
ESP-La Liga,2425,Alavés,Carles Aleñá,ESP,MF,26,1998,12.1,1,0,0,11,24,0,31,1,12,,,0
ESP-La Liga,2425,Alavés,Carlos Benavídez,URU,MF,26,1998,5.4,3,0,0,17,6,1,1,7,15,,,0
ESP-La Liga,2425,Alavés,Carlos Martín,ESP,"MF,FW",22,2002,14.8,3,0,0,31,28,6,24,5,20,,,0
ESP-La Liga,2425,Alavés,Carlos Vicente,ESP,MF,25,1999,34.4,3,0,0,38,63,10,266,14,33,,,0
ESP-La Liga,2425,Alavés,Facundo Garcés,MAS,DF,24,1999,7.5,2,0,0,7,2,0,1,6,2,,,0
ESP-La Liga,2425,Alavés,Hugo Novoa,ESP,"MF,DF",21,2003,2.6,0,0,0,1,1,2,7,0,5,,,0
ESP-La Liga,2425,Alavés,Jesús Owono,EQG,GK,23,2001,5.4,0,0,0,1,2,0,0,0,1,,,0
ESP-La Liga,2425,Alavés,Joan Jordán,ESP,MF,30,1994,15.7,4,0,0,29,11,1,107,9,18,,,0
ESP-La Liga,2425,Alavés,Jon Guridi,ESP,MF,29,1995,23.1,6,0,0,35,14,5,17,13,23,,,0
ESP-La Liga,2425,Alavés,Kiké,ESP,FW,34,1989,28.2,5,1,1,49,59,22,13,1,14,,,0
ESP-La Liga,2425,Alavés,Luis Rioja,ESP,"FW,MF",30,1993,0.3,0,0,0,1,1,0,6,0,1,,,0
ESP-La Liga,2425,Alavés,Luka Romero,ARG,"MF,FW",19,2004,2.2,0,0,0,3,3,1,10,1,4,,,0
ESP-La Liga,2425,Alavés,Manu Sánchez,ESP,DF,23,2000,29.3,6,1,0,56,21,1,76,30,61,,,1
ESP-La Liga,2425,Alavés,Moussa Diarra,MLI,DF,23,2000,20.7,6,0,0,28,24,1,20,17,23,,,0
ESP-La Liga,2425,Alavés,Nahuel Tenaglia,ARG,DF,28,1996,32.5,11,0,0,38,45,2,84,48,59,,,0
ESP-La Liga,2425,Alavés,Pau Cabanes,ESP,MF,19,2005,2.1,1,0,0,5,5,0,12,0,2,,,0
ESP-La Liga,2425,Alavés,Pica,ESP,DF,22,2002,5.5,1,0,0,6,3,0,2,9,7,,,0
ESP-La Liga,2425,Alavés,Santiago Mouriño,URU,DF,22,2002,20.5,7,0,0,32,24,1,4,27,28,,,0
ESP-La Liga,2425,Alavés,Stoichkov,ESP,"MF,FW",30,1993,7.8,1,0,0,9,16,5,14,1,8,,,0
ESP-La Liga,2425,Alavés,Tomás Conechny,ARG,"MF,FW",26,1998,9.4,8,0,0,28,11,5,31,6,11,,,0
ESP-La Liga,2425,Alavés,Toni Martínez,ESP,FW,27,1997,11.2,1,0,0,17,12,8,6,0,6,,,0
ESP-La Liga,2425,Athletic Club,Adama Boiro,ESP,DF,22,2002,12.2,3,0,0,13,8,1,31,11,11,,,0
ESP-La Liga,2425,Athletic Club,Adu Ares,ESP,MF,22,2001,0.2,0,0,0,0,0,0,1,0,0,,,0
ESP-La Liga,2425,Athletic Club,Aingeru Olabarrieta,ESP,MF,18,2005,0.6,0,0,0,1,0,0,4,1,0,,,0
ESP-La Liga,2425,Athletic Club,Aitor Paredes,ESP,DF,24,2000,20.1,4,1,1,23,6,0,1,22,13,,,0
ESP-La Liga,2425,Athletic Club,Alex Padilla,ESP,GK,20,2003,3.6,0,0,0,0,1,0,0,0,0,,,1
ESP-La Liga,2425,Athletic Club,Ander Herrera,ESP,MF,34,1989,3.0,2,0,0,6,3,0,1,2,4,,,0
ESP-La Liga,2425,Athletic Club,Andoni Gorosabel,ESP,DF,27,1996,16.5,5,0,0,23,4,1,41,17,29,,,0
ESP-La Liga,2425,Athletic Club,Beñat Prados,ESP,MF,23,2001,19.1,7,0,0,40,15,0,9,28,37,,,0
ESP-La Liga,2425,Athletic Club,Daniel Vivian,ESP,DF,25,1999,29.0,3,0,0,27,21,1,8,48,28,,,0
ESP-La Liga,2425,Athletic Club,Endika Buján,ESP,FW,21,2003,0.1,0,0,0,0,0,0,1,0,0,,,0
ESP-La Liga,2425,Athletic Club,Gorka Guruzeta,ESP,FW,27,1996,20.4,2,0,0,41,21,7,6,9,8,,,0
ESP-La Liga,2425,Athletic Club,Iñaki Williams,GHA,"MF,FW",30,1994,29.5,1,0,0,23,39,17,117,11,12,,,0
ESP-La Liga,2425,Athletic Club,Iñigo Lekue,ESP,DF,31,1993,8.6,1,0,0,5,2,0,16,9,13,,,0
ESP-La Liga,2425,Athletic Club,Iñigo Ruiz de Galarreta,ESP,MF,30,1993,16.4,5,0,0,43,17,1,28,14,22,,,0
ESP-La Liga,2425,Athletic Club,Javi Martón,ESP,FW,25,1999,0.6,1,0,0,1,0,1,0,0,0,,,0
ESP-La Liga,2425,Athletic Club,Julen Agirrezabala,ESP,GK,23,2000,13.4,1,1,0,3,1,0,0,0,0,,,0
ESP-La Liga,2425,Athletic Club,Maroan Sannadi,MAR,FW,23,2001,8.4,0,0,0,20,30,7,6,1,0,,,0
ESP-La Liga,2425,Athletic Club,Mikel Jauregizar,ESP,MF,20,2003,24.9,4,1,0,46,42,0,27,28,48,,,0
ESP-La Liga,2425,Athletic Club,Mikel Vesga,ESP,MF,31,1993,11.0,1,0,0,14,4,0,8,16,17,,,0
ESP-La Liga,2425,Athletic Club,Nico Williams,ESP,MF,22,2002,22.2,1,0,0,17,35,10,109,7,19,,,0
ESP-La Liga,2425,Athletic Club,Nicolás Serrano,ESP,MF,21,2003,1.2,0,0,0,2,2,0,13,1,1,,,0
ESP-La Liga,2425,Athletic Club,Oihan Sancet,ESP,MF,24,2000,18.0,2,0,0,16,24,5,17,5,8,,,0
ESP-La Liga,2425,Athletic Club,Peio Canales,ESP,MF,19,2005,2.9,0,0,0,1,2,1,16,1,2,,,0
ESP-La Liga,2425,Athletic Club,Unai Gómez,ESP,"MF,FW",21,2003,14.3,1,0,0,11,18,0,23,2,8,,,0
ESP-La Liga,2425,Athletic Club,Unai Núñez,ESP,DF,27,1997,7.2,4,0,0,10,5,1,0,16,6,,,0
ESP-La Liga,2425,Athletic Club,Unai Simón,ESP,GK,27,1997,21.0,0,0,0,0,3,0,0,1,0,,,0
ESP-La Liga,2425,Athletic Club,Yeray Álvarez,ESP,DF,29,1995,19.8,4,0,0,15,15,0,3,35,13,,,0
ESP-La Liga,2425,Athletic Club,Yuri Berchiche,ESP,DF,34,1990,22.7,5,0,0,18,19,4,42,28,22,,,0
ESP-La Liga,2425,Athletic Club,Álex Berenguer,ESP,"MF,FW",29,1995,26.0,5,0,0,29,30,5,178,10,13,,,0
ESP-La Liga,2425,Athletic Club,Álvaro djaló,GNB,"MF,FW",24,1999,7.3,2,0,0,18,14,5,14,2,5,,,0
ESP-La Liga,2425,Athletic Club,Óscar de Marcos,ESP,DF,35,1989,17.4,0,0,0,16,5,1,54,16,17,,,0
ESP-La Liga,2425,Atlético Madrid,Adrian Niño,ESP,FW,20,2004,0.1,0,0,0,0,0,0,0,0,0,,,0
ESP-La Liga,2425,Atlético Madrid,Alexander Sørloth,NOR,FW,28,1995,17.4,4,0,0,26,13,8,5,1,5,,,0
ESP-La Liga,2425,Atlético Madrid,Antoine Griezmann,FRA,"FW,MF",33,1991,27.4,2,0,0,11,26,14,140,6,18,,,0
ESP-La Liga,2425,Atlético Madrid,Axel Witsel,BEL,DF,35,1989,9.5,1,0,0,4,5,1,0,11,12,,,0
ESP-La Liga,2425,Atlético Madrid,Clément Lenglet,FRA,DF,29,1995,21.9,9,0,0,29,19,2,4,24,17,,,0
ESP-La Liga,2425,Atlético Madrid,Conor Gallagher,ENG,MF,24,2000,18.1,2,0,0,32,39,1,13,20,32,,,0
ESP-La Liga,2425,Atlético Madrid,César Azpilicueta,ESP,DF,34,1989,9.7,1,0,0,8,6,3,5,6,14,,,0
ESP-La Liga,2425,Atlético Madrid,Giuliano Simeone,ARG,MF,21,2002,21.4,4,0,0,23,42,7,51,15,13,,,0
ESP-La Liga,2425,Atlético Madrid,Jan Oblak,SVN,GK,31,1993,36.0,0,0,0,0,2,0,0,0,0,,,0
ESP-La Liga,2425,Atlético Madrid,Javi Galán,ESP,DF,29,1994,19.8,8,0,0,38,35,4,57,11,32,,,0
ESP-La Liga,2425,Atlético Madrid,José María Giménez,URU,DF,29,1995,22.2,5,0,0,13,12,0,0,28,16,,,1
ESP-La Liga,2425,Atlético Madrid,Juan Musso,ARG,GK,30,1994,2.0,0,0,0,0,1,0,0,0,0,,,0
ESP-La Liga,2425,Atlético Madrid,Julián Álvarez,ARG,FW,24,2000,27.9,5,0,0,26,9,9,69,2,17,,,0
ESP-La Liga,2425,Atlético Madrid,Koke,ESP,MF,32,1992,21.4,4,0,0,23,16,0,23,21,26,,,1
ESP-La Liga,2425,Atlético Madrid,Marcos Llorente,ESP,"DF,MF",29,1995,27.9,0,1,0,23,25,4,62,27,52,,,0
ESP-La Liga,2425,Atlético Madrid,Nahuel Molina,ARG,DF,26,1998,17.7,1,0,0,13,8,4,55,14,19,,,0
ESP-La Liga,2425,Atlético Madrid,Pablo Barrios,ESP,MF,21,2003,25.9,4,1,0,28,27,0,26,33,26,,,0
ESP-La Liga,2425,Atlético Madrid,Reinildo Mandava,MOZ,"DF,MF",30,1994,10.5,4,0,0,19,18,1,8,16,10,,,0
ESP-La Liga,2425,Atlético Madrid,Robin Le Normand,ESP,DF,27,1996,23.9,8,0,0,35,24,3,0,11,17,,,0
ESP-La Liga,2425,Atlético Madrid,Rodrigo De Paul,ARG,MF,30,1994,23.4,7,0,0,19,49,0,57,6,24,,,0
ESP-La Liga,2425,Atlético Madrid,Rodrigo Riquelme,ESP,"MF,DF",24,2000,5.7,0,0,0,8,8,4,35,2,5,,,0
ESP-La Liga,2425,Atlético Madrid,Samuel Lino,BRA,MF,24,1999,17.2,3,0,0,15,30,3,41,9,18,,,0
ESP-La Liga,2425,Atlético Madrid,Thomas Lemar,FRA,MF,28,1995,0.9,0,0,0,1,2,0,3,0,1,,,0
ESP-La Liga,2425,Atlético Madrid,Ángel Correa,ARG,FW,29,1995,8.9,3,1,0,18,11,4,24,5,3,,,0
ESP-La Liga,2425,Barcelona,Alejandro Balde,ESP,DF,20,2003,25.4,2,0,0,16,37,0,68,7,10,,,0
ESP-La Liga,2425,Barcelona,Andreas Christensen,DEN,DF,28,1996,2.8,3,0,0,5,0,0,0,4,3,,,0
ESP-La Liga,2425,Barcelona,Ansu Fati,ESP,MF,21,2002,2.6,1,0,0,2,2,2,0,1,1,,,0
ESP-La Liga,2425,Barcelona,Dani Olmo,ESP,MF,26,1998,13.5,1,0,0,21,26,1,21,5,11,,,0
ESP-La Liga,2425,Barcelona,Daniel Rodriguez,ESP,MF,18,2005,0.4,0,0,0,0,0,0,3,0,0,,,0
ESP-La Liga,2425,Barcelona,Eric García,ESP,"DF,MF",23,2001,17.4,4,0,0,20,8,0,6,18,21,,,0
ESP-La Liga,2425,Barcelona,Fermin López,ESP,MF,21,2003,13.9,4,1,0,27,21,5,47,4,14,,,0
ESP-La Liga,2425,Barcelona,Ferran Torres,ESP,"FW,MF",24,2000,12.3,1,1,0,5,16,6,17,4,5,,,0
ESP-La Liga,2425,Barcelona,Frenkie de Jong,NED,MF,27,1997,12.7,3,0,0,14,18,0,5,14,12,,,0
ESP-La Liga,2425,Barcelona,Gavi,ESP,MF,19,2004,12.1,4,0,0,38,27,1,8,10,23,,,0
ESP-La Liga,2425,Barcelona,Gerard Martín,ESP,DF,22,2002,11.5,2,0,0,14,9,0,35,15,10,,,0
ESP-La Liga,2425,Barcelona,Héctor Fort,ESP,DF,17,2006,6.5,2,0,0,8,1,0,12,9,8,,,0
ESP-La Liga,2425,Barcelona,Iñaki Peña,ESP,GK,25,1999,15.5,1,0,0,0,0,0,0,0,0,,,0
ESP-La Liga,2425,Barcelona,Iñigo Martínez,ESP,DF,33,1991,27.7,5,0,0,18,28,0,8,20,14,,,0
ESP-La Liga,2425,Barcelona,Jules Koundé,FRA,DF,25,1998,28.9,4,0,0,22,19,7,62,19,42,,,0
ESP-La Liga,2425,Barcelona,Lamine Yamal,ESP,"MF,FW",17,2007,31.7,3,0,0,30,60,13,104,15,29,,,0
ESP-La Liga,2425,Barcelona,Marc Bernal,ESP,MF,17,2007,2.7,2,0,0,4,3,0,0,1,6,,,0
ESP-La Liga,2425,Barcelona,Marc Casado,ESP,MF,20,2003,17.9,4,1,1,26,36,0,9,24,24,,,0
ESP-La Liga,2425,Barcelona,Marc-André ter Stegen,GER,GK,32,1992,7.5,0,0,0,0,2,0,0,0,0,,,0
ESP-La Liga,2425,Barcelona,Pablo Torre,ESP,MF,21,2003,3.4,0,0,0,4,8,1,13,3,4,,,0
ESP-La Liga,2425,Barcelona,Pau Cubarsí,ESP,DF,17,2007,29.1,3,0,0,24,9,0,2,18,24,,,0
ESP-La Liga,2425,Barcelona,Pau Victor,ESP,FW,22,2001,3.5,2,0,0,7,3,0,3,2,1,,,0
ESP-La Liga,2425,Barcelona,Pedri,ESP,MF,21,2002,32.0,3,0,0,10,51,2,57,29,32,,,0
ESP-La Liga,2425,Barcelona,Raphinha,BRA,"MF,FW",27,1996,31.5,4,0,0,11,37,10,216,10,23,,,0
ESP-La Liga,2425,Barcelona,Robert Lewandowski,POL,FW,35,1988,29.6,1,0,0,30,39,17,5,4,5,,,0
ESP-La Liga,2425,Barcelona,Ronald Araújo,URU,DF,25,1999,8.4,3,0,0,9,4,0,0,9,9,,,0
ESP-La Liga,2425,Barcelona,Sergi Dominguez,ESP,DF,19,2005,1.9,1,0,0,2,0,0,0,4,1,,,0
ESP-La Liga,2425,Barcelona,Wojciech Szczęsny,POL,GK,34,1990,15.0,0,0,0,1,1,0,0,0,1,,,0
ESP-La Liga,2425,Celta Vigo,Alfon,ESP,"FW,MF",25,1999,15.2,1,1,0,15,31,6,39,4,3,,,0
ESP-La Liga,2425,Celta Vigo,Anastasios Douvikas,GRE,FW,24,1999,7.8,2,0,0,10,27,9,1,3,4,,,0
ESP-La Liga,2425,Celta Vigo,Borja Iglesias,ESP,FW,31,1993,21.7,2,0,0,40,34,14,6,7,7,,,0
ESP-La Liga,2425,Celta Vigo,Carl Starfelt,SWE,DF,29,1995,25.2,5,0,0,21,11,0,0,28,21,,,0
ESP-La Liga,2425,Celta Vigo,Carlos Dominguez,ESP,DF,23,2001,13.1,1,0,0,8,10,0,0,12,12,,,1
ESP-La Liga,2425,Celta Vigo,Damián Rodríguez,ESP,MF,21,2003,10.3,3,0,0,13,9,0,30,6,9,,,0
ESP-La Liga,2425,Celta Vigo,Fer López,ESP,"FW,MF",20,2004,7.5,2,0,0,13,7,2,2,2,5,,,0
ESP-La Liga,2425,Celta Vigo,Fran Beltrán,ESP,MF,25,1999,26.9,3,0,0,35,12,0,5,22,36,,,0
ESP-La Liga,2425,Celta Vigo,Franco Cervi,ARG,"MF,FW",30,1994,3.0,1,0,0,4,1,0,6,8,3,,,0
ESP-La Liga,2425,Celta Vigo,Hugo Sotelo,ESP,MF,20,2003,13.9,5,0,0,19,9,1,50,5,16,,,0
ESP-La Liga,2425,Celta Vigo,Hugo Álvarez,ESP,MF,21,2003,17.5,6,0,0,25,16,3,30,9,10,,,0
ESP-La Liga,2425,Celta Vigo,Iago Aspas,ESP,"FW,MF",36,1987,19.4,6,1,1,16,34,5,16,8,7,,,0
ESP-La Liga,2425,Celta Vigo,Iker Losada,ESP,"MF,FW",22,2001,4.0,2,0,0,3,0,0,5,1,4,,,0
ESP-La Liga,2425,Celta Vigo,Ilaix Moriba,GUI,MF,21,2003,23.7,9,1,1,32,58,2,6,12,39,,,0
ESP-La Liga,2425,Celta Vigo,Iván Villar,ESP,GK,27,1997,4.0,0,0,0,0,0,0,0,0,0,,,0
ESP-La Liga,2425,Celta Vigo,Jailson Siqueira,BRA,DF,28,1995,6.8,2,0,0,4,4,0,1,8,11,,,1
ESP-La Liga,2425,Celta Vigo,Javi Rodríguez,ESP,DF,21,2003,27.9,7,0,0,37,22,0,4,32,38,,,0
ESP-La Liga,2425,Celta Vigo,Javier Manquillo,ESP,DF,30,1994,5.7,1,0,0,9,1,0,3,5,6,,,0
ESP-La Liga,2425,Celta Vigo,Jonathan Bamba,CIV,"MF,FW",28,1996,9.0,1,0,0,7,17,4,25,4,7,,,0
ESP-La Liga,2425,Celta Vigo,Joseph Aidoo,GHA,DF,28,1995,0.0,0,0,0,0,0,0,0,0,0,,,0
ESP-La Liga,2425,Celta Vigo,Luca de la Torre,USA,MF,26,1998,0.0,0,0,0,1,0,0,0,0,0,,,0
ESP-La Liga,2425,Celta Vigo,Marcos Alonso,ESP,DF,33,1990,29.4,10,2,1,31,28,2,41,33,21,,,0
ESP-La Liga,2425,Celta Vigo,Mihailo Ristić,SRB,"MF,DF",28,1995,4.8,1,0,0,8,2,0,13,2,7,,,0
ESP-La Liga,2425,Celta Vigo,Pablo Durán,ESP,"FW,MF",23,2001,15.5,3,0,0,31,19,7,18,7,8,,,0
ESP-La Liga,2425,Celta Vigo,Sergio Carreira,ESP,MF,23,2000,18.4,1,0,0,19,7,4,42,17,17,,,0
ESP-La Liga,2425,Celta Vigo,Tadeo Allende,ARG,"FW,MF",25,1999,0.0,1,0,0,0,0,0,0,0,0,,,0
ESP-La Liga,2425,Celta Vigo,Vicente Guaita,ESP,GK,37,1987,34.0,0,0,0,0,5,0,0,0,0,,,0
ESP-La Liga,2425,Celta Vigo,Williot Swedberg,SWE,"FW,MF",20,2004,15.0,1,0,0,21,32,7,19,3,16,,,0
ESP-La Liga,2425,Celta Vigo,Yoel Lago,ESP,DF,20,2004,6.5,2,0,0,16,9,0,0,5,8,,,0
ESP-La Liga,2425,Celta Vigo,Óscar Mingueza,ESP,"MF,DF",25,1999,30.3,6,1,0,24,31,2,135,23,27,,,0
ESP-La Liga,2425,Espanyol,Alejo Véliz,ARG,FW,20,2003,12.5,3,0,0,20,33,5,0,4,2,,,0
ESP-La Liga,2425,Espanyol,Alex Král,CZE,MF,26,1998,30.2,1,0,0,31,23,0,38,26,37,,,0
ESP-La Liga,2425,Espanyol,Antoniu,ESP,MF,21,2002,11.4,3,0,0,19,23,4,21,8,9,,,0
ESP-La Liga,2425,Espanyol,Brian Oliván,ESP,DF,30,1994,11.3,2,0,0,13,6,3,56,10,10,,,0
ESP-La Liga,2425,Espanyol,Carlos Romero,ESP,"DF,MF",22,2001,28.4,7,0,0,34,21,1,90,28,47,,,0
ESP-La Liga,2425,Espanyol,Edu Expósito,ESP,MF,27,1996,11.6,3,0,0,14,22,2,66,16,13,,,0
ESP-La Liga,2425,Espanyol,Fernando Calero,ESP,DF,28,1995,7.9,1,0,0,6,8,0,2,15,9,,,0
ESP-La Liga,2425,Espanyol,Irvin Cardona,MLT,"FW,MF",26,1997,6.7,1,0,0,8,8,5,13,5,6,,,0
ESP-La Liga,2425,Espanyol,Javi Puado,ESP,"MF,FW",26,1998,33.0,8,0,0,22,27,6,28,5,17,,,0
ESP-La Liga,2425,Espanyol,Joan García,ESP,GK,23,2001,38.0,2,0,0,0,7,0,0,0,1,,,0
ESP-La Liga,2425,Espanyol,Jofre,ESP,MF,23,2001,24.1,5,0,0,28,59,3,55,14,16,,,0
ESP-La Liga,2425,Espanyol,José Gragera,ESP,MF,23,2000,6.3,0,0,0,18,8,0,0,5,15,,,0
ESP-La Liga,2425,Espanyol,Justin Smith,CAN,MF,21,2003,2.3,0,0,0,5,2,0,1,4,3,,,0
ESP-La Liga,2425,Espanyol,Leandro Cabrera,URU,DF,33,1991,31.9,4,1,0,24,8,0,18,29,22,,,0
ESP-La Liga,2425,Espanyol,Marash Kumbulla,ALB,DF,24,2000,33.0,9,0,0,37,29,0,6,32,25,,,1
ESP-La Liga,2425,Espanyol,Naci Ünüvar,NED,"FW,MF",21,2003,0.3,0,0,0,0,1,1,2,0,2,,,0
ESP-La Liga,2425,Espanyol,Omar El Hilali,MAR,DF,20,2003,35.0,11,0,0,52,30,7,57,45,78,,,0
ESP-La Liga,2425,Espanyol,Pere Milla,ESP,MF,31,1992,5.1,3,0,0,5,12,2,14,3,2,,,0
ESP-La Liga,2425,Espanyol,Pol Lozano,ESP,MF,24,1999,21.6,12,0,0,56,14,0,19,22,33,,,0
ESP-La Liga,2425,Espanyol,Rafael Bauza,ESP,MF,19,2005,2.0,1,0,0,8,0,0,0,0,3,,,0
ESP-La Liga,2425,Espanyol,Roberto Férnandez,ESP,FW,22,2002,16.6,1,0,0,28,25,9,2,3,4,,,0
ESP-La Liga,2425,Espanyol,Roger Hinojo,ESP,DF,19,2005,0.1,0,0,0,0,0,0,2,0,0,,,0
ESP-La Liga,2425,Espanyol,Sergi Gómez,ESP,DF,32,1992,7.4,1,0,0,6,1,0,1,7,5,,,0
ESP-La Liga,2425,Espanyol,Urko González,ESP,MF,23,2001,15.3,2,0,0,15,11,1,3,8,26,,,0
ESP-La Liga,2425,Espanyol,Walid Cheddira,MAR,FW,26,1998,7.1,3,0,0,30,27,11,2,1,0,,,0
ESP-La Liga,2425,Espanyol,Álvaro Aguado,ESP,MF,28,1996,4.9,3,0,0,5,8,0,12,4,2,,,0
ESP-La Liga,2425,Espanyol,Álvaro Tejero,ESP,"MF,DF",28,1996,13.8,2,0,0,14,19,1,111,12,3,,,0
ESP-La Liga,2425,Getafe,Abdoulaye Keita,ESP,MF,21,2002,1.1,0,0,0,6,0,0,1,0,2,,,0
ESP-La Liga,2425,Getafe,Alberto Risco,ESP,MF,18,2005,0.8,0,0,0,1,2,0,4,0,4,,,0
ESP-La Liga,2425,Getafe,Alex Sola,ESP,MF,25,1999,11.4,4,0,0,24,26,7,18,6,12,,,0
ESP-La Liga,2425,Getafe,Allan Nyom,CMR,"MF,DF",36,1988,9.9,4,0,0,18,9,0,15,5,12,,,0
ESP-La Liga,2425,Getafe,Bertuğ Yıldırım,TUR,FW,22,2002,12.0,7,0,0,33,18,14,7,1,5,,,0
ESP-La Liga,2425,Getafe,Borja Mayoral,ESP,FW,27,1997,12.4,0,0,0,9,15,12,9,2,4,,,0
ESP-La Liga,2425,Getafe,Carles Aleñá,ESP,MF,26,1998,5.0,1,0,0,8,11,2,6,0,3,,,0
ESP-La Liga,2425,Getafe,Carles Pérez,ESP,MF,26,1998,15.9,2,0,0,44,11,1,41,7,23,,,0
ESP-La Liga,2425,Getafe,Christantus Uche,NGA,"FW,MF",21,2003,27.6,8,2,1,55,68,19,21,9,21,,,0
ESP-La Liga,2425,Getafe,Coba da Costa,ESP,MF,22,2002,11.2,4,0,0,10,10,0,41,10,13,,,0
ESP-La Liga,2425,Getafe,David Argüelles,ESP,DF,22,2002,0.1,0,0,0,0,0,0,0,0,0,,,0
ESP-La Liga,2425,Getafe,David Soria,ESP,GK,31,1993,38.0,2,0,0,0,2,0,0,0,4,,,0
